Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Customer Group ID,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
CUS00501,CUS00501,,,,,,,,3,,,,,,,
CUS00502,CUS00502,,,,,,,,3,,,,,,,
CUS00503,CUS00503,,,,,,,,3,,,,,,,
CUS00504,CUS00504,,,,,,,,3,,,,,,,
CUS00505,CUS00505,,,,,,,,3,,,,,,,
CUS00506,CUS00506,,,,,,,,3,,,,,,,
CUS00507,CUS00507,,,,,,,,3,,,,,,,
CUS00508,CUS00508,,,,,,,,3,,,,,,,
CUS00509,CUS00509,,,,,,,,3,,,,,,,
CUS00510,CUS00510,,,,,,,,3,,,,,,,
CUS00511,CUS00511,,,,,,,,3,,,,,,,
CUS00512,CUS00512,,,,,,,,3,,,,,,,
CUS00513,CUS00513,,,,,,,,3,,,,,,,
CUS00514,CUS00514,,,,,,,,3,,,,,,,
CUS00515,CUS00515,,,,,,,,3,,,,,,,
CUS00516,CUS00516,,,,,,,,3,,,,,,,
CUS00517,CUS00517,,,,,,,,3,,,,,,,
CUS00518,CUS00518,,,,,,,,3,,,,,,,
CUS00519,CUS00519,,,,,,,,3,,,,,,,
CUS00520,CUS00520,,,,,,,,3,,,,,,,
CUS00521,CUS00521,,,,,,,,3,,,,,,,
CUS00522,CUS00522,,,,,,,,3,,,,,,,
CUS00523,CUS00523,,,,,,,,3,,,,,,,
CUS00524,CUS00524,,,,,,,,3,,,,,,,
CUS00525,CUS00525,,,,,,,,3,,,,,,,
CUS00526,CUS00526,,,,,,,,3,,,,,,,
CUS00527,CUS00527,,,,,,,,3,,,,,,,
CUS00528,CUS00528,,,,,,,,3,,,,,,,
CUS00529,CUS00529,,,,,,,,3,,,,,,,
CUS00530,CUS00530,,,,,,,,3,,,,,,,
CUS00531,CUS00531,,,,,,,,3,,,,,,,
CUS00532,CUS00532,,,,,,,,3,,,,,,,
CUS00533,CUS00533,,,,,,,,3,,,,,,,
CUS00534,CUS00534,,,,,,,,3,,,,,,,
CUS00535,CUS00535,,,,,,,,3,,,,,,,
CUS00536,CUS00536,,,,,,,,3,,,,,,,
CUS00537,CUS00537,,,,,,,,3,,,,,,,
CUS00538,CUS00538,,,,,,,,3,,,,,,,
CUS00539,CUS00539,,,,,,,,3,,,,,,,
CUS00540,CUS00540,,,,,,,,3,,,,,,,
CUS00541,CUS00541,,,,,,,,3,,,,,,,
CUS00542,CUS00542,,,,,,,,3,,,,,,,
CUS00543,CUS00543,,,,,,,,3,,,,,,,
CUS00544,CUS00544,,,,,,,,3,,,,,,,
CUS00545,CUS00545,,,,,,,,3,,,,,,,
CUS00546,CUS00546,,,,,,,,3,,,,,,,
CUS00547,CUS00547,,,,,,,,3,,,,,,,
CUS00548,CUS00548,,,,,,,,3,,,,,,,
CUS00549,CUS00549,,,,,,,,3,,,,,,,
CUS00550,CUS00550,,,,,,,,3,,,,,,,
CUS00551,CUS00551,,,,,,,,3,,,,,,,
CUS00552,CUS00552,,,,,,,,3,,,,,,,
CUS00553,CUS00553,,,,,,,,3,,,,,,,
CUS00554,CUS00554,,,,,,,,3,,,,,,,
CUS00555,CUS00555,,,,,,,,3,,,,,,,
CUS00556,CUS00556,,,,,,,,3,,,,,,,
CUS00557,CUS00557,,,,,,,,3,,,,,,,
CUS00558,CUS00558,,,,,,,,3,,,,,,,
CUS00559,CUS00559,,,,,,,,3,,,,,,,
CUS00560,CUS00560,,,,,,,,3,,,,,,,
CUS00561,CUS00561,,,,,,,,3,,,,,,,
CUS00562,CUS00562,,,,,,,,3,,,,,,,
CUS00563,CUS00563,,,,,,,,3,,,,,,,
CUS00564,CUS00564,,,,,,,,3,,,,,,,
CUS00565,CUS00565,,,,,,,,3,,,,,,,
CUS00566,CUS00566,,,,,,,,3,,,,,,,
CUS00567,CUS00567,,,,,,,,3,,,,,,,
CUS00568,CUS00568,,,,,,,,3,,,,,,,
CUS00569,CUS00569,,,,,,,,3,,,,,,,
CUS00570,CUS00570,,,,,,,,3,,,,,,,
CUS00571,CUS00571,,,,,,,,3,,,,,,,
CUS00572,CUS00572,,,,,,,,3,,,,,,,
CUS00573,CUS00573,,,,,,,,3,,,,,,,
CUS00574,CUS00574,,,,,,,,3,,,,,,,
CUS00575,CUS00575,,,,,,,,3,,,,,,,
CUS00576,CUS00576,,,,,,,,3,,,,,,,
CUS00577,CUS00577,,,,,,,,3,,,,,,,
CUS00578,CUS00578,,,,,,,,3,,,,,,,
CUS00579,CUS00579,,,,,,,,3,,,,,,,
CUS00580,CUS00580,,,,,,,,3,,,,,,,
CUS00581,CUS00581,,,,,,,,3,,,,,,,
CUS00582,CUS00582,,,,,,,,3,,,,,,,
CUS00583,CUS00583,,,,,,,,3,,,,,,,
CUS00584,CUS00584,,,,,,,,3,,,,,,,
CUS00585,CUS00585,,,,,,,,3,,,,,,,
CUS00586,CUS00586,,,,,,,,3,,,,,,,
CUS00587,CUS00587,,,,,,,,3,,,,,,,
CUS00588,CUS00588,,,,,,,,3,,,,,,,
CUS00589,CUS00589,,,,,,,,3,,,,,,,
CUS00590,CUS00590,,,,,,,,3,,,,,,,
CUS00591,CUS00591,,,,,,,,3,,,,,,,
