Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
CD000039,CD000039,CD,UNIT,6.00,13.99,1,,,,,,,,,,,,,,,,
CD000050,CD000050,CD,UNIT,6.00,13.99,1,,,,,,,,,,,,,,,,
CD000056,CD000056,CD,UNIT,8.00,17.99,1,,,,,,,,,,,,,,,,
CD000074,CD000074,CD,UNIT,4.00,10,1,,,,,,,,,,,,,,,,
CD000078,CD000078,CD,UNIT,3.00,8,1,,,,,,,,,,,,,,,,
CD000082,CD000082,CD,UNIT,22.00,45.99,1,,,,,,,,,,,,,,,,
CD000571,CD000571,CD,UNIT,7.00,15.99,1,,,,,,,,,,,,,,,,
CD00096,CD00096,CD,UNIT,18.00,37.99,1,,,,,,,,,,,,,,,,
CD00097,CD00097,CD,UNIT,28.50,58.99,1,,,,,,,,,,,,,,,,
CD000G18,CD000G18,CD,UNIT,12.00,26,1,,,,,,,,,,,,,,,,
CD0010330,CD0010330,CD,UNIT,6.00,13.99,1,,,,,,,,,,,,,,,,
CD001112,CD001112,CD,UNIT,4.50,10.99,1,,,,,,,,,,,,,,,,
CD0013140,CD0013140,CD,UNIT,14.50,30.99,1,,,,,,,,,,,,,,,,
CD0015116,CD0015116,CD,UNIT,17.50,36.99,1,,,,,,,,,,,,,,,,
CD001525,CD001525,CD,UNIT,22.50,46.99,1,,,,,,,,,,,,,,,,
CD00155111,CD00155111,CD,UNIT,17.50,36.99,1,,,,,,,,,,,,,,,,
CD0020020,CD0020020,CD,UNIT,7.50,16.99,1,,,,,,,,,,,,,,,,
CD00223,CD00223,CD,UNIT,14.50,30.99,1,,,,,,,,,,,,,,,,
CD0030033,CD0030033,CD,UNIT,10.50,22.99,1,,,,,,,,,,,,,,,,
CD003009,CD003009,CD,UNIT,7.50,16.99,1,,,,,,,,,,,,,,,,
CD0030139,CD0030139,CD,UNIT,10.00,21.99,1,,,,,,,,,,,,,,,,
CD003227,CD003227,CD,UNIT,6.50,14.99,1,,,,,,,,,,,,,,,,
CD00325,CD00325,CD,UNIT,17.50,36.99,1,,,,,,,,,,,,,,,,
CD004,CD004,CD,UNIT,7.50,16.99,1,,,,,,,,,,,,,,,,
CD0040003,CD0040003,CD,UNIT,5.50,12.99,1,,,,,,,,,,,,,,,,
CD00401,CD00401,CD,UNIT,5.00,11.99,1,,,,,,,,,,,,,,,,
CD004330,CD004330,CD,UNIT,5.00,11.99,1,,,,,,,,,,,,,,,,
CD004694,CD004694,CD,UNIT,44.00,89.99,1,,,,,,,,,,,,,,,,
CD005002,CD005002,CD,UNIT,9.50,20.99,1,,,,,,,,,,,,,,,,
CD0050023,CD0050023,CD,UNIT,11.50,24.99,1,,,,,,,,,,,,,,,,
CD0050401,CD0050401,CD,UNIT,10.00,21.99,1,,,,,,,,,,,,,,,,
CD0050501,CD0050501,CD,UNIT,10.00,21.99,1,,,,,,,,,,,,,,,,
CD0050578,CD0050578,CD,UNIT,10.00,21.99,1,,,,,,,,,,,,,,,,
CD005091,CD005091,CD,UNIT,7.50,16.99,1,,,,,,,,,,,,,,,,
CD005137,CD005137,CD,UNIT,8.50,19,1,,,,,,,,,,,,,,,,
CD005157,CD005157,CD,UNIT,5.00,11.99,1,,,,,,,,,,,,,,,,
CD005198,CD005198,CD,UNIT,7.50,16.99,1,,,,,,,,,,,,,,,,
