Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
BG0B889,8.5,5,WH1,2,,,,,,,,,
BG0GJ171,3.7,5,WH1,2,,,,,,,,,
BGBRJ171,3.7,5,WH1,2,,,,,,,,,
BGBBJ171,3.7,5,WH1,2,,,,,,,,,
BG0B0577,8.3,5,WH1,2,,,,,,,,,
BGBB0577,8.3,5,WH1,2,,,,,,,,,
BG00J172,5.5,5,WH1,2,,,,,,,,,
BGBRJ173,6.5,10,WH1,2,,,,,,,,,
BGBBJ173,6.5,10,WH1,2,,,,,,,,,
BG008146B,6.3,4,WH1,2,,,,,,,,,
BG008146S,6,4,WH1,2,,,,,,,,,
BG0P8147,5.5,5,WH1,2,,,,,,,,,
BG0R8147,5.5,5,WH1,2,,,,,,,,,
BGBB8147,5.5,5,WH1,2,,,,,,,,,
BG0G8150,5.7,5,WH1,2,,,,,,,,,
BG0W8150,5.7,5,WH1,2,,,,,,,,,
BG001706,7.5,5,WH1,2,,,,,,,,,
