Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY0C112,112 CREAM SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SY0W112,112 WHITE SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SYBB112,112 BLACK SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SYDG1720,1720 DARK GRAY,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0P1720,1720 PINK SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0G1720,1720 GRAY SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SYGG1721,1720 GREEN SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SY0R1721,1721 RED SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SYBB1721,1721 BLACK SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SY0W1721,1721 WHITE SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
