Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
GU0066532,66532 UNDERWEAR,GU,UNIT,,6.99,1,,,,,,,,,,,,,,,,
GUZ300,Z300 UNDERWEAR,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
GU0066386,66386 UNDERWEAR,GU,UNIT,,6.99,1,,,,,,,,,,,,,,,,
GUL6609,L6609 UNDERWEAR,GU,UNIT,,3.99,1,,,,,,,,,,,,,,,,
GU005077,5077 UNDERWEAR,GU,UNIT,,3.99,1,,,,,,,,,,,,,,,,
GU009309,9309 UNDERWEAR,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
GU005090,5090 UNDERWEAR,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
GUL6602,L6602 UNDERWEAR,GU,UNIT,,3.99,1,,,,,,,,,,,,,,,,
GU00016,00016 UNDERWEAR,GU,UNIT,,3.99,1,,,,,,,,,,,,,,,,
GUQ688,Q688 UNDERWEAR,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
GU5509,5509 UNDERWEAR ,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
GUZ389,Z389 UNDERWEAR,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
GU006615,6615 UNDERWEAR,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
GU00202,202 UNDERWEAR,GU,UNIT,,5.99,1,,,,,,,,,,,,,,,,
GU00601,601 UNDERWEAR,GU,UNIT,,2.99,1,,,,,,,,,,,,,,,,
GU00318,318 UNDERWEAR,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
