Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
IS0W8201,8201 WHITE IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
IS0R8201,8201 RED IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
ISBB8201,8201 BLACK IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
IS0P8201,8201 PINK IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
ISBB2202,2202 BLACK IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0W2202,2202 WHITE IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0R2202,2202 RED IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0S3873,3873 SILVER IBSO,IS,UNIT,,40,,,,,,,,,,,,,,,,,
IS0G3873,3873 GOLD IBSO,IS,UNIT,,40,,,,,,,,,,,,,,,,,
ISRG3873,3873 ROSE GOLD IBSO,IS,UNIT,,40,,,,,,,,,,,,,,,,,
ISBB3802M,3802 MAN BLACK IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBB3802W,3802 WOMAN BLACK IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0R3802M,3802  MAN RED IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0R3802W,3802 WOMAN RED IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0R3919,3919 RED IBSO,IS,UNIT,,36,,,,,,,,,,,,,,,,,
ISBB3919,3919 BLACK IBSO,IS,UNIT,,36,,,,,,,,,,,,,,,,,
ISBW2246,2246 BROWN WHITE IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBR2246,2246 BROWN IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBB2246,2246 BLACK IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBS2246,2246 BLACK SILVER IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBB3923,3923 BLACK IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
ISBW3923,3923 BLACK WHITE IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
ISRR3923,3923 RED RED IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
ISRW3923,3923 RED WHITE IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
IS0P2210,2210 PINK IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBB2210,2210 BLACK IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0W2210,2210 WHITE IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBR3818M,3818 BROWN MAN IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
ISBR3818W,3818 BROWN WOMAN IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
ISBB3818M,3818 BLACK MAN IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
ISBB3818W,3818 BLACK WOMAN IBSO,IS,UNIT,,32,,,,,,,,,,,,,,,,,
IS0S8228M,8228 SILVER MAN IBSO,IS,UNIT,,48,,,,,,,,,,,,,,,,,
IS0S8228W,8228 SILVER WOMAN IBSO,IS,UNIT,,48,,,,,,,,,,,,,,,,,
IS0G8223M,8228 GOLD MAN IBSO,IS,UNIT,,48,,,,,,,,,,,,,,,,,
IS0G8223W,8228 GOLD WOMAN IBSO,IS,UNIT,,48,,,,,,,,,,,,,,,,,
IS0S3839,3839 SILVER IBSO,IS,UNIT,,36,,,,,,,,,,,,,,,,,
IS0G3839,3839 GOLD IBSO,IS,UNIT,,36,,,,,,,,,,,,,,,,,
IS203832W,3832 BROWN WHITE WOMAN IBSO,IS,UNIT,,29,,,,,,,,,,,,,,,,,
ISBB8160M,8160 BLACK MAN I BSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBB8160W,8160 BLACK WOMAN IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBE8160M,8160 BLUE MAN IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBE8160W,8160 BLUE WOMAN IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBG8160M,8160 BLACK GOLD MAN IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
ISBG8160W,8160 BLACL GOLD WOMAN IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0R8160M,8160 RED MAN IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
IS0R8160W,8160 RED WOMAN IBSO,IS,UNIT,,30,,,,,,,,,,,,,,,,,
