Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY008295,8295 SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD008049,8049 DRESS,CD,UNIT,,19.99,1,,,,,,,,,,,,,,,,
SY0B6602,6602 BLUE SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SYDB6602,6602 DARK BLUE SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY000888,888 SHIRT,SY,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD000881,881 DRESS,CD,UNIT,,19.99,1,,,,,,,,,,,,,,,,
SY00265,265 SHIRT,SY,UNIT,,18.99,1,,,,,,,,,,,,,,,,
SY0080910,80910 SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY0B4017,4017 BLUE SHIRT,SY,UNIT,,16.99,1,,,,,,,,,,,,,,,,
SY0W4017,4017 WHITE SHIRT,SY,UNIT,,16.99,1,,,,,,,,,,,,,,,,
