Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
BGDBA513,3.8,7,WH1,6,,,,received,,,,,
BG0BA513,3.8,5,WH1,6,,,,received,,,,,
BGGGA513,3.8,10,WH1,6,,,,received,,,,,
BGBBA513,3.8,10,WH1,6,,,,received,,,,,
BG0GA513,3.8,10,WH1,6,,,,received,,,,,
BG0PA513,3.8,13,WH1,6,,,,received,,,,,
BGGGAF613,3.7,10,WH1,6,,,,received,,,,,
BG0BF613,3.7,10,WH1,6,,,,received,,,,,
BG0GF613,3.7,10,WH1,6,,,,received,,,,,
BG0PF613,3.7,10,WH1,6,,,,received,,,,,
BGBBF613,3.7,10,WH1,6,,,,received,,,,,
