Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY0B1704,1704 SHIRT,SY,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD005358,5358 DRESS,CD,UNIT,,18.99,1,,,,,,,,,,,,,,,,
CD005842,5842 DRESS,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SYPP6852,6852 PURPEL,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SYGG6852,6852 GREEN,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY0G8563,8563 GRAY,SY,UNIT,,17.99,1,,,,,,,,,,,,,,,,
CD005612,5612 DRESS,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
SY007959,7959 SHIRT,SY,UNIT,,17.99,1,,,,,,,,,,,,,,,,
CD005329,5329 DRESS,CD,UNIT,,19.99,1,,,,,,,,,,,,,,,,
JK007963,7963 JACKET,JK,UNIT,,22.99,1,,,,,,,,,,,,,,,,
SY001787,1787 SHIRT,SY,UNIT,,17.99,1,,,,,,,,,,,,,,,,
SKBB3011,3011 BLACK SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SK0W3011,3011 WHITE SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SK0R3011,3011 RED SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SH003010,3010 SHORT,SH,UNIT,,11.99,1,,,,,,,,,,,,,,,,
