Code,Quantity,option_id,warehouse_id,opening_stock,cost
JJ0S2029,1,,2,,7
JJ202024,1,,2,,6.5
JJBR2038,1,,2,,4
JL0B0814,1,,2,,6.8
JL0B094,1,,2,,17.6
JL0B096,1,,2,,20
JL0B885,1,,2,,6.5
JL0B906,1,,2,,12
JL0G0090,1,,2,,21
JL0G0828,1,,2,,15.9
JL0G094,1,,2,,17.6
JL0G097,1,,2,,9.9
JL0G859,1,,2,,15
JL0G861,1,,2,,11.6
JL0G867,1,,2,,11.9
JL0G871,1,,2,,13.7
JL0G878,1,,2,,14
JL0G906,1,,2,,12
JL0G918,1,,2,,17.3
JL0G919,1,,2,,11
JL0G926,1,,2,,10.8
JL0G936,1,,2,,14.6
JL0P0828,1,,2,,15.9
JL0P854,1,,2,,8.7
JL0P866,1,,2,,10.3
JL0R885,1,,2,,6.5
JL0R964,1,,2,,7.5
JL0S859,1,,2,,15
JL0S861,1,,2,,11.6
JL0S867,1,,2,,11.9
JL0S871,1,,2,,13.7
JL0S878,1,,2,,14
JL0S918,1,,2,,17.3
JL0S919,1,,2,,11
JL0S936,1,,2,,14.6
JL0W0814,1,,2,,6.8
JL0W0828,1,,2,,15.9
JL0W866,1,,2,,10.3
JL0W964,1,,2,,7.5
JL0Y097,1,,2,,9.9
JLBB094,1,,2,,17.6
JLBB096,1,,2,,20
JLBB097,1,,2,,9.9
JLBB885,1,,2,,6.5
JLBB926,1,,2,,10.8
JLBB954,1,,2,,8
JLBG954,1,,2,,8
JLBR0660,1,,2,,7.5
JLBR0694,1,,2,,6.5
JLBR0828,1,,2,,15.9
JLBR097,1,,2,,9.9
JLBR954,1,,2,,8
JLBR964,1,,2,,7.5
JLSB0090,1,,2,,21
JLBW096,1,,2,,20
JLDG0821,1,,2,,15.9
JLDG0829,1,,2,,9.6
JLDG0848,1,,2,,15.1
JLDG871,1,,2,,13.7
JLGG866,1,,2,,10.3
JLGG919,1,,2,,11
JLGG926,1,,2,,10.8
JLPP0814,1,,2,,6.8
JLPP926,1,,2,,10.8
JLRG0090,1,,2,,21
JLRG0821,1,,2,,15.9
JLRG0848,1,,2,,15.1
JLSB861,1,,2,,11.6
JLSR859,1,,2,,15
JLSW0090,1,,2,,21
