Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
JK004241,6.8,15,1,2,,,,received,,,,,
JK005071,6,15,1,2,,,,received,,,,,
LJ003863,6,15,1,2,,,,received,,,,,
SY001108,4.6,10,1,2,,,,received,,,,,
SY0P3828,3,10,1,2,,,,received,,,,,
SY0W3828,3,10,1,2,,,,received,,,,,
CD008025,4.6,10,1,2,,,,received,,,,,
CD0B9307,6.8,10,1,2,,,,received,,,,,
CD0P9307,6.8,10,1,2,,,,received,,,,,
CD006275,5.2,10,1,2,,,,received,,,,,
SYGG9968,5.5,10,1,2,,,,received,,,,,
SY0P9968,5.5,10,1,2,,,,received,,,,,
DO001248,6,10,1,2,,,,received,,,,,
LJ00562,4.9,15,1,2,,,,received,,,,,
