Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0B3119,3,20,WH1,2,,,,received,,pending,,,
SY0W3119,3,10,WH1,2,,,,received,,pending,,,
SS006603,4.6,10,WH1,2,,,,received,,pending,,,
LJ002267,5.3,20,WH1,2,,,,received,,pending,,,
LJ0B2278,5.3,15,WH1,2,,,,received,,pending,,,
LJBB2278,5.3,15,WH1,2,,,,received,,pending,,,
SY0Y3521,5.9,10,WH1,2,,,,received,,pending,,,
SY0B3521,5.9,10,WH1,2,,,,received,,pending,,,
SY0W3521,5.9,10,WH1,2,,,,received,,pending,,,
CD009321,4.5,10,WH1,2,,,,received,,pending,,,
LJ005009,5.7,15,WH1,2,,,,received,,pending,,,
SJ004895,4,20,WH1,2,,,,received,,pending,,,
SYBB8472,4.3,10,WH1,2,,,,received,,pending,,,
SY0W8472,4.3,10,WH1,2,,,,received,,pending,,,
LJ001023,5.3,15,WH1,2,,,,received,,pending,,,
SY0R1607,4.7,5,WH1,2,,,,received,,pending,,,
SY0W1607,4.7,10,WH1,2,,,,received,,pending,,,
SYBB1607,4.7,10,WH1,2,,,,received,,pending,,,
SYBR1607,4.7,5,WH1,2,,,,received,,pending,,,
