Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
PL51109BR,51109 BROWN PL,PL,UNIT,,200,1,,,,,,,,,,,,,,,,
PL51109BE,51109 BLUE PL,PL,UNIT,,200,1,,,,,,,,,,,,,,,,
PL81103BB,81103 BLACK PL,PL,UNIT,,158,1,,,,,,,,,,,,,,,,
PL81103BR,81103 BROWN PL,PL,UNIT,,158,1,,,,,,,,,,,,,,,,
PL91120BB,91120 BLACK PL,PL,UNIT,,231,1,,,,,,,,,,,,,,,,
PL91120BR,91120 BROWN PL,PL,UNIT,,231,1,,,,,,,,,,,,,,,,
PL51111G,51111 GOLD PL,PL,UNIT,,224,1,,,,,,,,,,,,,,,,
PL51111BB,51111 BLACK PL,PL,UNIT,,224,1,,,,,,,,,,,,,,,,
PL91131BB,91131 BLACK PL,PL,UNIT,,175,1,,,,,,,,,,,,,,,,
PL91131BR,91131 BROWN PL,PL,UNIT,,175,1,,,,,,,,,,,,,,,,
PL21126BE,21126 BLUE PL,PL,UNIT,,224,1,,,,,,,,,,,,,,,,
PL21126BB,21126 BLACK PL,PL,UNIT,,224,1,,,,,,,,,,,,,,,,
PL21117BE,21117 BLUE PL,PL,UNIT,,188,1,,,,,,,,,,,,,,,,
PL21117BR,21117 BROWN PL,PL,UNIT,,188,1,,,,,,,,,,,,,,,,
PL21127BRB,21127BROWN BLACK PL,PL,UNIT,,181,1,,,,,,,,,,,,,,,,
PL21127BRW,21127BROWN WHITE PL,PL,UNIT,,181,1,,,,,,,,,,,,,,,,
PL21127BB,21127 BLACK PL,PL,UNIT,,181,1,,,,,,,,,,,,,,,,
PL21110GG,21110GREEN PL,PL,UNIT,,201,1,,,,,,,,,,,,,,,,
PL21110BE,21110 BLUE PL,PL,UNIT,,201,1,,,,,,,,,,,,,,,,
PL21110BR,21110 BROWN PL,PL,UNIT,,201,1,,,,,,,,,,,,,,,,
PL91103BG,91103 BLACK GOLD PL,PL,UNIT,,235,1,,,,,,,,,,,,,,,,
PL91103BW,91103  BLACK WHITE PL,PL,UNIT,,235,1,,,,,,,,,,,,,,,,
PL21119BB,21119 BLACK PL,PL,UNIT,,214,1,,,,,,,,,,,,,,,,
PL21119BE,21119 BLUE PL,PL,UNIT,,214,1,,,,,,,,,,,,,,,,
PL91101BB,91101BLACK PL,PL,UNIT,,228,1,,,,,,,,,,,,,,,,
PL91101BR,91101 BROWN PL,PL,UNIT,,228,1,,,,,,,,,,,,,,,,
PL21124BR,21124 BROWN PL,PL,UNIT,,280,1,,,,,,,,,,,,,,,,
PL21124BB,21124 BLACK PL,PL,UNIT,,280,1,,,,,,,,,,,,,,,,
PL71102BE,71102 BLUE PL,PL,UNIT,,155,1,,,,,,,,,,,,,,,,
PL71102BB,71102 BLACK PL,PL,UNIT,,155,1,,,,,,,,,,,,,,,,
PL21103BE,21103 BLUE PL,PL,UNIT,,204,1,,,,,,,,,,,,,,,,
PL21103BB,21103 BLACK PL,PL,UNIT,,204,1,,,,,,,,,,,,,,,,
PL21125BR,21125 BROWN PL,PL,UNIT,,188,1,,,,,,,,,,,,,,,,
PL21125BB,21125 BLACK PL,PL,UNIT,,188,1,,,,,,,,,,,,,,,,
PL71108BG,71108 BLACK GOLD PL,PL,UNIT,,218,1,,,,,,,,,,,,,,,,
PL71108BB,71108 BLACK PL,PL,UNIT,,218,1,,,,,,,,,,,,,,,,
