Code,Quantity,option_id,warehouse_id,opening_stock,cost
PL21103BB,1,,2,,58.3
PL21103BE,1,,2,,58.3
PL21110BE,1,,2,,57.35
PL21110BR,1,,2,,57.35
PL21110GG,1,,2,,57.35
PL21117BE,1,,2,,53.55
PL21117BR,1,,2,,53.55
PL21119BB,1,,2,,61.15
PL21119BE,1,,2,,61.15
PL21124BB,1,,2,,59.25
PL21124BR,1,,2,,59.25
PL21125BB,1,,2,,53.55
PL21125BR,1,,2,,53.55
PL21126BB,1,,2,,64
PL21126BE,1,,2,,64
PL21127BB,1,,2,,53.65
PL21127BRB,1,,2,,53.65
PL21127BRW,1,,2,,53.65
PL51109BE,1,,2,,57.35
PL51109BR,1,,2,,57.35
PL51111BB,1,,2,,64
PL51111G,1,,2,,64
PL71102BB,1,,2,,44.05
PL71102BE,1,,2,,44.05
PL71108BB,1,,2,,62.1
PL71108BG,1,,2,,62.1
PL81103BB,1,,2,,43.1
PL91101BB,1,,2,,63.05
PL91101BR,1,,2,,63.05
PL91103BG,1,,2,,66.85
PL91103BW,1,,2,,66.85
PL91120BB,1,,2,,65.9
PL91120BR,1,,2,,65.9
PL91131BB,1,,2,,49.75
PL91131BR,1,,2,,49.75
