"Product Code","Product Name",Variant,Expected,Counted
" 5451280","cashmere sweater college wind",,-27.0000,
000981,"velvet pant",,-58.0000,
000987,dress,,-11.0000,
0074,glass,,-77.0000,
0089,jean,,-5.0000,
00984,jacket,,-33.0000,
00985,jacket,,-12.0000,
0100DG," Denim Shorts",,-59.0000,
0109705,"Black Varsity Print Hoodie",,-42.0000,
01203,glass,,-32.0000,
012114,shirt,,-30.0000,
012488,Jacket,,-116.0000,
01384867,"Lattice Hem High Waist Pant",,-19.0000,
014488,"tank top",,-55.0000,
0147,shirt,,-222.0000,
01748,"Sport Leggin",,-11.0000,
0210,"romper dress",,-14.0000,
0213,"bf JEAN",,-9.0000,
02134,shirt,,-9.0000,
02135,jacket,,-6.0000,
0214,"w b shirt",,-12.0000,
02145,"a set",,-19.0000,
02183,shirt,,-17.0000,
021855,"set white",,-8.0000,
0222701,"Detail Top With Mesh Dress",,-92.0000,
0226350,"Wide Stripes Curved Hem Dress",,-11.0000,
02263501,"Wide Stripes Curved Hem Dress",,-35.0000,
02354,"short jean",,-4.0000,
02396,"hat black",,-104.0000,
024544,"romper dress",,-12.0000,
024557,sweater,,-12.0000,
024784,"Army Zip Sweater",,-14.0000,
0247847,"rose embroidery bra",,-10.0000,
02531,"bf JEAN",,-11.0000,
02541,"shirt sacj jak",,-17.0000,
02545,"skirt black",,-17.0000,
02584,"hat youth",,-20.0000,
0261,"big hat",,-2.0000,
02654,jacket,,-29.0000,
02782,"shirt sacj jak",,-23.0000,
02813,hate,,-8.0000,
02842,shirt,,-10.0000,
02844,hodie,,-24.0000,
0287,shirt,,-10.0000,
0304302," Choker Set",,-61.0000,
0309706,"Strap Scoop Neck Slub Tee",,-21.0000,
03114,"flower dress",,-10.0000,
0317101,"Lace Up Detail Denim Jacket",,-13.0000,
0317702,"Palm Leaf Print Double V Neck Cami Dress",,-7.0000,
0320701,"Frill Trim Cuffed Sleeve Striped Bardot Top",,-14.0000,
0321002," Raw Hem Cuffed T-shirt",,-156.0000,
0322702,"Botanical Print Ruffle Hem Kimono",,-40.0000,
0323,shirt,,-46.0000,
0323201,"Contrast Mesh Ripped Detail Jeans",,-8.0000,
0324204,"Florals Exaggerated Frill Blouse",,-68.0000,
0325301,"Color Block Crossover Bra",,-137.0000,
032587,"skirt black",,-210.0000,
032588,"shirt sacj jak",,-39.0000,
03287,dress,,-22.0000,
0329702,"Laser Cut Flounce Bardot Dress",,-37.0000,
036258,"skirt black",,-280.0000,
0367,dress,,-9.0000,
0389654,"off should",,-2.0000,
0394,"shirt sacj jak",,-9.0000,
03985,jacket,,-8.0000,
03987,hodie,,-14.0000,
0405108,"Crop Tee",,-27.0000,
0406104,"Knitted Crop Tank Top",,-87.0000,
0407106," Waist Striped Side Sports Shorts",,-40.0000,
0424202,"Contrast Mesh Ripped Detail Denim Shorts",,-6.0000,
04302,"Sexy Fishnet Tight",,-28.0000,
04705,"Long Sleeve Outerwear",,-22.0000,
0501004,"Contrast Crochet Cami Top",,-16.0000,
0509002,"Frayed Grey Denim Shorts",,-28.0000,
0511208,"Flower Embroidery Keyhole Back Tiered Dress",,-21.0000,
05720,"Embellished Pencil Dress",,-40.0000,
06421,jumsuit,,-48.0000,
06491,"Bell Sleeve A Line Dress",,-26.0000,
068438,"Oversized Cutout Shirt",,-135.0000,
07002,"Drop Shoulder Contrast Striped Hoodie",,-39.0000,
0701022,"Blue Distressed Boyfriend Jeans",,-30.0000,
0708,"Korean white shirt summer",,-9.0000,
07106,"Waist Striped Side Shorts",,-28.0000,
0715302,"Black Faux Leather Skinny Belt",,-655.0000,
073241," Embroidered Tunic Blouse",,-8.0000,
0754512,"USA hoodie",,-6.0000,
07867,dress,,-2.0000,
0811701,"Binding Pocket Baseball Jacket",,-25.0000,
0812101,"Striped V Neck Crop Sweater",,-59.0000,
0816304," Leather Quilted Flap Chain Bag",,-8.0000,
0823001,"Blue Distressed Knees Ankle Jeans",,-44.0000,
0825579,"Adjustable Sleeve And Waist Boho Dress",,-12.0000,
0830578," Patch Long Sleeve Sweater",,-35.0000,
0873,"off should",,-8.0000,
0905121,"Black Striped Side Sweat Pants",,-26.0000,
0913771,"Band Collar Zipper Front Jacket",,-16.0000,
0923,dress,,-8.0000,
0930005,"Fuzzy Sweater",,-112.0000,
0951,shirt,,-18.0000,
0978,jacket,,-14.0000,
0985,"skirt black",,-8.0000,
098541,"blue pant",,-11.0000,
0987,skirt,,-12.0000,
0u875,dress,,-7.0000,
10001,"SWAG F tanktop",,-104.0000,
10002,"SWAG F set",,-100.0000,
10003,"SWAG F jacket",,-93.0000,
10004,"SWAG F sweater",,-170.0000,
10005,"SWAG F jacket",,-109.0000,
10006,"SWAG F sweater",,-17.0000,
10007,"SWAG F dress",,-65.0000,
10008,"SWAG F dress",,-127.0000,
10009,"SWAG F set",,-8.0000,
10010,"SWAG F dress",,-28.0000,
100100,bag,,-44.0000,
100101,"women top",,-13.0000,
100102,skirt,,-129.0000,
100103,tshirt,,-93.0000,
100104,"women hoodie",,-468.0000,
100106,"black hoodie",,-580.0000,
1001067,"Blue Raw Hem Denim Skirt",,-26.0000,
100107,cropsweater,,-90.0000,
1001078," Hem Denim Skirt",,-5.0000,
10010784,"Hem Denim Skirt",,-28.0000,
100108,sweater,,-3.0000,
100109,"stripe tee",,-54.0000,
10011,"SWAG F skirt",,-14.0000,
100110,dollarhoodie,,-15.0000,
100111,"denim jacket",,-4.0000,
100112,"denim jacket bwx",,-7.0000,
100114,"malebomber jacket",,-1.0000,
100115,tee,,-314.0000,
100116,jean,,-51.0000,
100117,"short pant",,-95.0000,
100118,tee,,-102.0000,
100119,"bomber jacket",,-16.0000,
10012,"SWAG F skirt",,-255.0000,
100120,sweatpant,,-24.0000,
100121,"bomber velvet",,-34.0000,
100122,sweater,,-2.0000,
100123,plaidshirt,,-26.0000,
100124,sheerplaid,,-38.0000,
100126,heartshirt,,-13.0000,
100129,"women set",,-25.0000,
10013,"SWAG M sweater",,-57.0000,
100130,"floral middress",,-15.0000,
100131,"velvet dress",,-6.0000,
100133,"basic top",,-1086.0000,
100134,"cross hand style top",,-18.0000,
100135,"off shoulder",,-23.0000,
100136,"huge tee",,-7.0000,
100139,"black GD jacket",,-61.0000,
10014,"SWAG F tee",,-427.0000,
100140,"sweater GD",,-111.0000,
100141,"pink slit sweater",,-1.0000,
100142,"buddismh bomber",,-1.0000,
100143,skirt,,-290.0000,
100144,"red jacket",,-3.0000,
100146,"basic work blouse",,-246.0000,
100147,"denim jean",,-36.0000,
100148,"dfloral skirt",,-21.0000,
100149,"highknee skirt",,-51.0000,
10015,"SWAG F tee",,-79.0000,
100150,"onepiece knit dress",,-40.0000,
100151,"pleated skirt",,-21.0000,
100152,twopiecetop,,-7.0000,
100153,tshirt,,-17.0000,
100154,tshirt,,-306.0000,
100155,skirt,,-88.0000,
100156,skirt,,-37.0000,
100157,skirt,,-89.0000,
100158,jumper,,-15.0000,
100159,sweater,,-5.0000,
10016,"SWAG m dress",,-80.0000,
100160,tshirt,,-86.0000,
100161,"sweater hoodie",,-952.0000,
100162,jacket,,-7.0000,
100163,"turtle neck",,-4.0000,
100164,sweater,,-60.0000,
100165,blouse,,-55.0000,
100166,"male tee",,-4.0000,
100167,jacket,,-2.0000,
100168,bra,,-102.0000,
100169,"strap hoodie",,-33.0000,
10017,"Velvet Hoodie",,-24.0000,
100170,"love urself sweater",,-44.0000,
100171,"mid sleeve kimono",,-58.0000,
100172,"long sleeve kimono",,-72.0000,
100173,"boho blouse",,-61.0000,
100174,"boho set",,-63.0000,
100175,"stripe jumper",,-9.0000,
100176,"stripe short",,-18.0000,
100177,"basic denim short",,-50.0000,
100178,"strap crop top",,-62.0000,
100179,"doll dress",,-13.0000,
10018,"Ring Skirt",,-20.0000,
100180,"tank top",,-66.0000,
100181,"tommy crop top",,-16.0000,
100182,"boho long jumpsuit",,-18.0000,
100183,"aztec tank top",,-215.0000,
100184,"off shoulder top",,-27.0000,
100185,"Adidas original tee",,-29.0000,
100186,"women skinny jean",,-12.0000,
100187,"vintage graphic tee",,-62.0000,
100188,"off shoulder aztec",,-15.0000,
100189,"boho romper",,-27.0000,
10019,"Moschino pant",,-27.0000,
100190,"star stripe tee",,-31.0000,
100191,"velvet polkadot dress",,-15.0000,
100192,"bomber jacket",,-23.0000,
100193,"bra set",,-15.0000,
100194,sunglasses,,-52.0000,
100195,"bra lace set",,-29.0000,
100196,"adidas velvet top",,-41.0000,
100197,hoodie,,-71.0000,
100198,hat,,-222.0000,
100199,"leather hat",,-97.0000,
10020,"White romper",,-2.0000,
100200,"crop hoodie",,-47.0000,
100201,tshirt,,-67.0000,
100202,sweater,,-8.0000,
100204,pant,,-48.0000,
100205,"long jumper",,-2.0000,
100206,"FLORAL sweater",,-3.0000,
100207,"basic sweater",,-5.0000,
100208,"army style jacket",,-6.0000,
100209,"eye jacket",,-7.0000,
10021,Lacedress,,-170.0000,
100210,"aztec skirt",,-133.0000,
100211,"jacket floral leather",,-5.0000,
100212,"black basic bomber",,9.0000,
1002121,belt,,-3.0000,
100213,"floral jacket jean",,-9.0000,
100214,"bra lace",,-28.0000,
100215,"basic pleat midi skirt",,6.0000,
100216,"original plaid jacket",,8.0000,
100217,"black basic bomber",,22.0000,
100218,"stripe knit top",,-21.0000,
100219,tshirt,,-45.0000,
10022,"Sleek Tee",,-27.0000,
100220,sweater,,5.0000,
100221,jean,,-40.0000,
100222,"denim skirt",,0.0000,
100223,"denim long jean",,-23.0000,
100224,"denim hole jacket",,8.0000,
100225,"heart crop top",,-57.0000,
100226,"denim jean",,0.0000,
100227,"bomber jacket",,-2.0000,
100228,"denim jean",,-18.0000,
100229,"pant grey",,-1.0000,
10023,"Women Jean",,-138.0000,
100230,"floral shirt",,-19.0000,
100231,short,,-40.0000,
100232,"bomber jacket",,-181.0000,
100233,"dark blue bomber",,-11.0000,
100234,"Nude bomber",,-1.0000,
100235,"army bomber",,-14.0000,
100236,"bomber jacket",,-74.0000,
100237,"dark bomber jacket",,-7.0000,
100238,"grey bomber jacket",,-6.0000,
100239,"nude bomber",,-7.0000,
100240,"denim jean",,2.0000,
100241,skirt,,-20.0000,
100242,skirt,,-8.0000,
100243,"side skirt",,-12.0000,
100244,"bk skirt",,-924.0000,
100245,"orange skirt",,-10.0000,
100246,"karo skirt",,-7.0000,
100247,"rinestone sweater",,-9.0000,
100248,"europe dress",,29.0000,
100249,"denim jacket",,3.0000,
10025,hoodie,,-142.0000,
100250,"midi hm dress",,0.0000,
100251,dress,,-61.0000,
100252,dress,,5.0000,
100253,JACKET,,47.0000,
100254,jacket,,44.0000,
100255,blouse,,13.0000,
100256,jumpsuit,,4.0000,
100257,"velvet skirt",,50.0000,
100258,hat,,-82.0000,
100259,bikini,,98.0000,
100260,"denim jean",,922.0000,
100261,"red sweater",,92.0000,
100262,"floral blouse",,90.0000,
100263,"korean dress",,62.0000,
100264,"grey denim jean",,94.0000,
100265,"short skirt",,67.0000,
100266,"fish net pant",,-39.0000,
100267,"short jean",,-5.0000,
10027,"SWAG F short",,-67.0000,
100278,"graphic tee",,-48.0000,
10028,"Women Crop Top",,-9.0000,
10029,"Women Jacket",,-255.0000,
100292,socks,,-19.0000,
