Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
CD009534,10.9,10,WH1,2,,,,received,,PAID,,,
SY000032,4.8,10,WH1,2,,,,received,,PAID,,,
DO0G9696,7.8,10,WH1,2,,,,received,,PAID,,,
DO0P9696,7.8,10,WH1,2,,,,received,,PAID,,,
JK002178,7.3,10,WH1,2,,,,received,,PAID,,,
CD009751,7.3,10,WH1,2,,,,received,,PAID,,,
SY003159,5.9,10,WH1,2,,,,received,,PAID,,,
CD009853,10.2,10,WH1,2,,,,received,,PAID,,,
CD009857,8,10,WH1,2,,,,received,,PAID,,,
CD009802,6.6,15,WH1,2,,,,received,,PAID,,,
