Code,Quantity,option_id,warehouse_id,opening_stock,cost
EW0B8845,1,,1,,10
EW0B8860,1,,1,,13.5
EW0G8860,1,,1,,13.5
EWBB8702,2,,1,,7
EWBL8702,3,,1,,7
IS0B2232,8,,1,,6.9
IS0B2240,1,,1,,9.5
IS0B2241,4,,1,,7.45
IS0B2246,2,,1,,7.7
IS0B3816,10,,1,,7.45
IS0B3816B,11,,1,,8.25
IS0B3939,4,,1,,6.9
IS0B3968,4,,1,,6.9
IS0B3973,1,,1,,10.2
IS0B6809,4,,1,,15.1
IS0G220,4,,1,,12.4
IS0G3806,2,,1,,11
IS0G3821,9,,1,,8.8
IS0G3848,2,,1,,7.8
IS0G3961,8,,1,,6.9
IS0G6802,6,,1,,8.4
IS0G8109,3,,1,,9.2
IS0O3821,11,,1,,12.4
IS0O8138,6,,1,,15.3
IS0P220,4,,1,,8.8
IS0P3806,1,,1,,7.8
IS0R216,1,,1,,7.5
IS0R3866,3,,1,,8.1
IS0R3963,2,,1,,8.4
IS0R6819,1,,1,,12.1
IS0R8111,4,,1,,15.5
IS0R8126,6,,1,,8.4
IS0S3846,2,,1,,8.4
IS0S3848,2,,1,,8.1
IS0W213,1,,1,,7
IS0W216,1,,1,,7.5
IS0W3939,1,,1,,10.2
IS0W3968,3,,1,,15.1
IS0W8111,4,,1,,15.5
IS0Y3821,1,,1,,6.9
IS103830,7,,1,,6.9
IS103860,4,,1,,8.4
IS103960,1,,1,,11.8
IS1BBG8126,3,,1,,8.4
IS1BG3822,7,,1,,6.3
IS1BG8126,4,,1,,8.4
IS1BS3822,8,,1,,6.3
IS203832,6,,1,,6.9
IS203860,5,,1,,8.4
IS206811,7,,1,,12.4
IS303818,5,,1,,8.1
IS303830,9,,1,,6.9
IS303860,16,,1,,8.4
IS303908,1,,1,,8.1
IS303960,6,,1,,11.8
IS306811,4,,1,,12.4
IS503832,20,,1,,6.9
ISBB216,1,,1,,7.5
ISBB220,4,,1,,8.8
ISBB2232,9,,1,,7.45
ISBB2240,1,,1,,7.7
ISBB2241,4,,1,,7.45
ISBB3803,6,,1,,7.5
ISBB3938,8,,1,,7.5
ISBB3960,4,,1,,15
ISBB3961,6,,1,,9.2
ISBB6809,4,,1,,12.3
ISBB8138,3,,1,,11
ISBBG8126,3,,1,,9.5
ISBBS8126,2,,1,,8.5
ISBE3812,1,,1,,8.5
ISBE3938,5,,1,,7.2
ISBG3812,2,,1,,7.5
ISBG3820,5,,1,,7.2
ISBG3822,5,,1,,7
ISBG3978,1,,1,,6.3
ISBR3938,8,,1,,8.4
ISBR3978,13,,1,,7.5
ISBR6816,5,,1,,8.4
ISBR8113,3,,1,,13.3
ISBS3803,4,,1,,10.1
ISBS3820,8,,1,,7.5
ISBS3863,6,,1,,7
ISBS3961,8,,1,,8
ISBWG3822,2,,1,,9.2
ISGG6816,6,,1,,6.3
ISPP3992,3,,1,,13.3
ISPP8111,3,,1,,8.65
ISRG2216,1,,1,,15.5
ISRR6802,11,,1,,8.7
ISRW3921,1,,1,,8.1
JJ002013,2,,1,,9.5
JL0B0814,2,,1,,6.8
JL0B094,4,,1,,17.6
JL0B096,3,,1,,20
JL0B885,2,,1,,7.5
JL0G0828,1,,1,,15.9
JL0G094,2,,1,,17.6
JL0G097,3,,1,,9.9
JL0G859,3,,1,,15
JL0G861,5,,1,,11.5
JL0G867,5,,1,,11.9
JL0G871,3,,1,,13.7
JL0G878,3,,1,,14
JL0G906,5,,1,,12
JL0G919,1,,1,,11
JL0G926,3,,1,,10.8
JL0G936,2,,1,,14.6
JL0P0828,2,,1,,15.9
JL0P854,2,,1,,8.7
JL0P866,9,,1,,10.3
JL0R854,1,,1,,8.7
JL0R885,3,,1,,7.5
JL0R964,4,,1,,7.5
JL0S859,2,,1,,15
JL0S861,4,,1,,11.5
JL0S867,5,,1,,11.9
JL0S871,5,,1,,13.7
JL0S878,2,,1,,14
JL0S918,2,,1,,17.3
JL0S919,3,,1,,11
JL0S936,5,,1,,14.6
JL0W0814,3,,1,,6.8
JL0W0828,1,,1,,15.9
JL0W866,8,,1,,10.3
JL0W884,1,,1,,9.3
JL0W964,3,,1,,7.5
JL0Y097,4,,1,,9.9
JLBB094,3,,1,,17.6
JLBB096,3,,1,,20
JLBB866,9,,1,,10.3
JLBB885,2,,1,,7.5
JLBB926,1,,1,,10.8
JLBB945,3,,1,,8.5
JLBG954,2,,1,,8
JLBR0660,3,,1,,7.5
JLBR0694,1,,1,,6.5
JLBR097,4,,1,,9.9
JLBR954,3,,1,,8
JLBR964,4,,1,,7.5
JLBW096,4,,1,,20
JLDG0821,4,,1,,15.9
JLDG0829,3,,1,,9.6
JLDG0848,4,,1,,15.1
JLDG871,5,,1,,13.7
JLGG866,3,,1,,10.3
JLGG919,5,,1,,11
JLGG926,2,,1,,10.8
JL0B906,4,,1,,12
JLPP0814,1,,1,,6.8
JLPP926,2,,1,,10.8
JLRG0821,1,,1,,15.9
JLSB0090,2,,1,,21
JLSB861,5,,1,,11.5
JLSR859,3,,1,,15
KM0O0516,1,,1,,8.5
KM0B0509,5,,1,,8
KM0B6005,1,,1,,10
KM0B6009,1,,1,,6.8
KM0B6010,1,,1,,6
KM0B6015,2,,1,,6.5
KM0G0556,1,,1,,9.5
KM0G6001,2,,1,,9.5
KM0G6015,3,,1,,6.5
KM0P0509,1,,1,,8
KM0P0512,2,,1,,8
KM0P6021,1,,1,,5.5
KM0R0513,2,,1,,8.6
KM0W0513,3,,1,,8.6
KM0W0516,1,,1,,8.5
KM0W0526,1,,1,,8
KM0W6021,2,,1,,5.5
KMBE0512,2,,1,,8
KMBE0513,3,,1,,8.6
KMBG6015,1,,1,,6.5
KMBG6016,2,,1,,8
KMBR0513,2,,1,,8.6
KMBR0546,1,,1,,7.5
KMPP0509,5,,1,,8
NF109054,2,,1,,9
NF209037,1,,1,,9.5
NF209053,1,,1,,9.5
NF209054,4,,1,,9.5
NF309053,1,,1,,9.5
NF409053,1,,1,,9.5
SW0R9079,1,,1,,6.5
SW0W0987,1,,1,,7.5
SWSB9069,3,,1,,7.5
