Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Customer Group ID,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
CUS/00001,CUS/00001,,,,,,,,,,,,,,,
CUS/00002,CUS/00002,,,,,,,,,,,,,,,
CUS/00003,CUS/00003,,,,,,,,,,,,,,,
CUS/00004,CUS/00004,,,,,,,,,,,,,,,
CUS/00005,CUS/00005,,,,,,,,,,,,,,,
CUS/00006,CUS/00006,,,,,,,,,,,,,,,
CUS/00007,CUS/00007,,,,,,,,,,,,,,,
CUS/00008,CUS/00008,,,,,,,,,,,,,,,
CUS/00009,CUS/00009,,,,,,,,,,,,,,,
CUS/00010,CUS/00010,,,,,,,,,,,,,,,
CUS/00011,CUS/00011,,,,,,,,,,,,,,,
CUS/00012,CUS/00012,,,,,,,,,,,,,,,
CUS/00013,CUS/00013,,,,,,,,,,,,,,,
CUS/00014,CUS/00014,,,,,,,,,,,,,,,
CUS/00015,CUS/00015,,,,,,,,,,,,,,,
CUS/00016,CUS/00016,,,,,,,,,,,,,,,
CUS/00017,CUS/00017,,,,,,,,,,,,,,,
CUS/00018,CUS/00018,,,,,,,,,,,,,,,
CUS/00019,CUS/00019,,,,,,,,,,,,,,,
CUS/00020,CUS/00020,,,,,,,,,,,,,,,
CUS/00021,CUS/00021,,,,,,,,,,,,,,,
CUS/00022,CUS/00022,,,,,,,,,,,,,,,
CUS/00023,CUS/00023,,,,,,,,,,,,,,,
CUS/00024,CUS/00024,,,,,,,,,,,,,,,
CUS/00025,CUS/00025,,,,,,,,,,,,,,,
CUS/00026,CUS/00026,,,,,,,,,,,,,,,
CUS/00027,CUS/00027,,,,,,,,,,,,,,,
CUS/00028,CUS/00028,,,,,,,,,,,,,,,
CUS/00029,CUS/00029,,,,,,,,,,,,,,,
CUS/00030,CUS/00030,,,,,,,,,,,,,,,
CUS/00031,CUS/00031,,,,,,,,,,,,,,,
CUS/00032,CUS/00032,,,,,,,,,,,,,,,
CUS/00033,CUS/00033,,,,,,,,,,,,,,,
CUS/00034,CUS/00034,,,,,,,,,,,,,,,
CUS/00035,CUS/00035,,,,,,,,,,,,,,,
CUS/00036,CUS/00036,,,,,,,,,,,,,,,
CUS/00037,CUS/00037,,,,,,,,,,,,,,,
CUS/00038,CUS/00038,,,,,,,,,,,,,,,
CUS/00039,CUS/00039,,,,,,,,,,,,,,,
CUS/00040,CUS/00040,,,,,,,,,,,,,,,
CUS/00041,CUS/00041,,,,,,,,,,,,,,,
CUS/00042,CUS/00042,,,,,,,,,,,,,,,
CUS/00043,CUS/00043,,,,,,,,,,,,,,,
CUS/00044,CUS/00044,,,,,,,,,,,,,,,
CUS/00045,CUS/00045,,,,,,,,,,,,,,,
CUS/00046,CUS/00046,,,,,,,,,,,,,,,
CUS/00047,CUS/00047,,,,,,,,,,,,,,,
CUS/00048,CUS/00048,,,,,,,,,,,,,,,
CUS/00049,CUS/00049,,,,,,,,,,,,,,,
CUS/00050,CUS/00050,,,,,,,,,,,,,,,
CUS/00051,CUS/00051,,,,,,,,,,,,,,,
CUS/00052,CUS/00052,,,,,,,,,,,,,,,
CUS/00053,CUS/00053,,,,,,,,,,,,,,,
CUS/00054,CUS/00054,,,,,,,,,,,,,,,
CUS/00055,CUS/00055,,,,,,,,,,,,,,,
CUS/00056,CUS/00056,,,,,,,,,,,,,,,
CUS/00057,CUS/00057,,,,,,,,,,,,,,,
CUS/00058,CUS/00058,,,,,,,,,,,,,,,
CUS/00059,CUS/00059,,,,,,,,,,,,,,,
CUS/00060,CUS/00060,,,,,,,,,,,,,,,
CUS/00061,CUS/00061,,,,,,,,,,,,,,,
CUS/00062,CUS/00062,,,,,,,,,,,,,,,
CUS/00063,CUS/00063,,,,,,,,,,,,,,,
CUS/00064,CUS/00064,,,,,,,,,,,,,,,
CUS/00065,CUS/00065,,,,,,,,,,,,,,,
CUS/00066,CUS/00066,,,,,,,,,,,,,,,
CUS/00067,CUS/00067,,,,,,,,,,,,,,,
CUS/00068,CUS/00068,,,,,,,,,,,,,,,
CUS/00069,CUS/00069,,,,,,,,,,,,,,,
CUS/00070,CUS/00070,,,,,,,,,,,,,,,
CUS/00071,CUS/00071,,,,,,,,,,,,,,,
CUS/00072,CUS/00072,,,,,,,,,,,,,,,
CUS/00073,CUS/00073,,,,,,,,,,,,,,,
CUS/00074,CUS/00074,,,,,,,,,,,,,,,
