Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
PR-00001, Product 00001,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00002, Product 00002,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00003, Product 00003,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00004, Product 00004,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00005, Product 00005,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00006, Product 00006,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00007, Product 00007,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00008, Product 00008,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00009, Product 00009,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00010, Product 00010,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00011, Product 00011,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00012, Product 00012,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00013, Product 00013,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00014, Product 00014,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00015, Product 00015,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00016, Product 00016,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00017, Product 00017,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00018, Product 00018,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00019, Product 00019,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00020, Product 00020,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00021, Product 00021,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00022, Product 00022,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00023, Product 00023,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00024, Product 00024,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00025, Product 00025,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
PR-00026, Product 00026,Cloth,1,10,15,1, No Tax, exclusive,,,,,,,,,,,,,,
