Code,Quantity,option_id,warehouse_id,opening_stock,cost
PR-00001,100,,1,1,0
PR-00002,100,,1,1,0
PR-00003,100,,1,1,0
PR-00004,100,,1,1,0
PR-00005,100,,1,1,0
PR-00006,100,,1,1,0
PR-00007,100,,1,1,0
PR-00008,100,,1,1,0
PR-00009,100,,1,1,0
PR-00010,100,,1,1,0
PR-00011,100,,1,1,0
PR-00012,100,,1,1,0
PR-00013,100,,1,1,0
PR-00014,100,,1,1,0
PR-00015,100,,1,1,0
PR-00016,100,,1,1,0
PR-00017,100,,1,1,0
PR-00018,100,,1,1,0
PR-00019,100,,1,1,0
PR-00020,100,,1,1,0
PR-00021,100,,1,1,0
PR-00022,100,,1,1,0
PR-00023,100,,1,1,0
PR-00024,100,,1,1,0
PR-00025,100,,1,1,0
PR-00026,100,,1,1,0
PR-00001,50,,2,1,0
PR-00002,50,,2,1,0
PR-00003,50,,2,1,0
PR-00004,50,,2,1,0
PR-00005,50,,2,1,0
PR-00006,50,,2,1,0
PR-00007,50,,2,1,0
PR-00008,50,,2,1,0
PR-00009,50,,2,1,0
PR-00010,50,,2,1,0
PR-00011,50,,2,1,0
PR-00012,50,,2,1,0
PR-00013,50,,2,1,0
PR-00014,50,,2,1,0
PR-00015,50,,2,1,0
PR-00016,50,,2,1,0
PR-00017,50,,2,1,0
PR-00018,50,,2,1,0
PR-00019,50,,2,1,0
PR-00020,50,,2,1,0
PR-00021,50,,2,1,0
PR-00022,50,,2,1,0
PR-00023,50,,2,1,0
PR-00024,50,,2,1,0
PR-00025,50,,2,1,0
PR-00026,50,,2,1,0
