Code,Quantity,option_id,warehouse_id,opening_stock,cost
BG001705,1,,1,,6.50
BG001706,3,,1,,7.50
BG002714,2,,1,,6.00
BG002900,8,,1,,6.50
BG003095,1,,1,,10.50
BG005159,7,,1,,6.50
BG008038,5,,1,,7.50
BG008144,1,,1,,14.00
BG009035,1,,1,,6.50
BG009982,7,,1,,7.50
BG00BP010,1,,1,,7.00
BG00C2702,6,,1,,7.00
BG0B0079,2,,1,,0.75
BG0B1701,1,,1,,6.00
BG0B511,4,,1,,3.50
BG0B6041,7,,1,,5.50
BG0B645,1,,1,,8.00
BG0B667,9,,1,,4.00
BG0B8086,2,,1,,6.00
BG0B8138,7,,1,,7.00
BG0B882,1,,1,,5.50
BG0BA513,2,,1,,4.00
BG0BB59,6,,1,,4.00
BG0BC2017,9,,1,,7.00
BG0BE3572,4,,1,,8.50
BG0BT619,2,,1,,6.50
BG0BF613,6,,1,,4.50
BG0G1069,1,,1,,4.00
BG0G1707,1,,1,,6.50
BG0G2879,5,,1,,7.50
BG0G5088,7,,1,,8.00
BG0G5182,3,,1,,10.00
BG0G6028,2,,1,,9.50
BG0G6041,3,,1,,5.50
BG0G8123,2,,1,,5.50
BG0G881,3,,1,,5.50
BG0G974,1,,1,,4.50
BG0G983,5,,1,,6.50
BG0GA513,6,,1,,4.00
BG0GF613,8,,1,,4.50
BG0P6046,1,,1,,6.50
BG0P881,2,,1,,5.50
BG0PA513,8,,1,,4.00
BG0PF613,8,,1,,4.50
BG0PG615,4,,1,,4.00
BG0R1701,4,,1,,6.00
BG0R5182,1,,1,,10.00
BG0R667,3,,1,,4.00
BG0R881,2,,1,,5.50
BG0S887,5,,1,,5.50
BG0W1701,3,,1,,6.00
BG0W8123,2,,1,,5.50
BG0W8137,4,,1,,7.00
BG0WC6029,1,,1,,8.00
BGBB0079,2,,1,,0.75
BGBB1056,1,,1,,5.00
BGBB1069,3,,1,,4.00
BGBB1701,4,,1,,6.00
BGBB1703,4,,1,,7.00
BGBB1707,3,,1,,6.50
BGBB2006,2,,1,,7.50
BGBB2879,7,,1,,7.50
BGBB396,4,,1,,4.50
BGBB5088,7,,1,,8.00
BGBB5182,1,,1,,10.00
BGBB6028,4,,1,,9.50
BGBB6050,1,,1,,5.50
BGBB636,4,,1,,5.50
BGBB645,4,,1,,8.00
BGBB667,9,,1,,4.00
BGBB8086,9,,1,,6.00
BGBB8137,4,,1,,7.00
BGBB8138,3,,1,,7.00
BGBB881,2,,1,,5.50
BGBB983,3,,1,,6.50
BGBBA513,2,,1,,4.00
BGBBB59,8,,1,,4.00
BGBBC2017,6,,1,,7.00
BGBBC6029,1,,1,,8.00
BGBBE3572,2,,1,,8.50
BGBBF613,9,,1,,4.50
BGBBT619,3,,1,,6.50
BGBR0079,1,,1,,0.75
BGBR2037,6,,1,,6.50
BGDB667,6,,1,,4.00
BGDBA513,4,,1,,4.00
BGDG2006,5,,1,,7.50
BGGO887,1,,1,,5.50
BGGG1703,4,,1,,7.00
BGGG2879,7,,1,,7.50
BGGG5182,2,,1,,10.00
BGGG6028,3,,1,,9.50
BGGGA513,6,,1,,4.00
BGGGAF613,7,,1,,4.50
BGPP8086,4,,1,,6.00
