Code,Quantity,option_id,warehouse_id,opening_stock,cost
1329G80,1,,2,,10.00
1345B70,1,,2,,9.00
B140007,1,,2,,6.50
BG0002702,1,,2,,7.00
BG001031,4,,2,,7.00
BG001267,1,,2,,7.50
BG00144,1,,2,,11.50
BG001702,2,,2,,7.50
BG001705,2,,2,,6.50
BG001706,4,,2,,7.50
BG003095,1,,2,,10.50
BG006018,1,,2,,10.00
BG006021,1,,2,,9.50
BG006118,2,,2,,10.00
BG008038,1,,2,,7.50
BG008039,1,,2,,7.50
BG008138,1,,2,,7.50
BG008144,6,,2,,11.50
BG00880,1,,2,,8.50
BG009035,2,,2,,6.50
BG009982,1,,2,,7.50
BG00BP010,7,,2,,7.00
BG00C2702,1,,2,,7.00
BG0B0079,1,,2,,0.75
BG0B1701,1,,2,,6.00
BG0B3024,3,,2,,7.50
BG0B4105,2,,2,,7.50
BG0B511,4,,2,,3.50
BG0B6041,2,,2,,5.50
BG0B636,2,,2,,5.50
BG0B645,1,,2,,8.00
BG0B719,4,,2,,6.50
BG0B720,2,,2,,6.50
BG0B8038,1,,2,,10.50
BG0B8039,4,,2,,7.00
BG0B8086,2,,2,,6.00
BG0B8088,1,,2,,11.50
BG0B8123,1,,2,,5.50
BG0B8137,1,,2,,7.00
BG0B8138,2,,2,,7.00
BG0B881,2,,2,,5.50
BG0B882,1,,2,,5.50
BG0B983,1,,2,,6.50
BG0BB59,3,,2,,4.00
BG0BBP003,1,,2,,10.50
BG0BE3572,1,,2,,8.50
BG0BT619,1,,2,,6.50
BG0F525,5,,2,,7.50
BG0F887,1,,2,,5.50
BG0G1069,2,,2,,4.00
BG0G1707,2,,2,,6.50
BG0G2879,1,,2,,7.50
BG0G5088,1,,2,,8.00
BG0G5182,1,,2,,10.00
BG0G6028,1,,2,,9.50
BG0G6038,1,,2,,5.50
BG0G6041,2,,2,,5.50
BG0G6050,1,,2,,5.50
BG0G612,1,,2,,6.50
BG0G636,1,,2,,5.50
BG0G645,1,,2,,8.00
BG0G8078,1,,2,,5.50
BG0G8084,3,,2,,5.00
BG0G8123,1,,2,,5.50
BG0G881,1,,2,,5.50
BG0G974,2,,2,,4.50
BG0G983,2,,2,,6.50
BG0GA513,1,,2,,4.00
BG0GF613,2,,2,,4.50
BG0GG038,2,,2,,5.50
BG0P6046,2,,2,,6.50
BG0P8123,1,,2,,5.50
BG0P881,1,,2,,5.50
BG0PG615,3,,2,,4.00
BG0R1701,1,,2,,6.00
BG0R5182,1,,2,,10.00
BG0S525,1,,2,,7.50
BG0S8084,2,,2,,5.00
BG0S887,2,,2,,5.50
BG0W1106,1,,2,,5.50
BG0W1701,1,,2,,6.00
BG0W1703,1,,2,,7.00
BG0W6046,2,,2,,6.50
BG0W8039,1,,2,,7.00
BG0W8123,1,,2,,5.50
BG0W8137,1,,2,,7.00
BG0W971,1,,2,,7.00
BG0W999,1,,2,,8.00
BG0WC6029,2,,2,,8.00
BGBB1032,2,,2,,7.00
BGBB1056,1,,2,,5.00
BGBB1069,2,,2,,4.00
BGBB1701,1,,2,,6.00
BGBB1703,1,,2,,7.00
BGBB1707,2,,2,,6.50
BGBB2006,1,,2,,7.50
BGBB2879,2,,2,,7.50
BGBB396,3,,2,,4.50
BGBB5088,2,,2,,8.00
BGBB5182,1,,2,,10.00
BGBB6028,1,,2,,9.50
BGBB6041,2,,2,,5.50
BGBB6046,1,,2,,6.50
BGBB6050,1,,2,,5.50
BGBB636,2,,2,,5.50
BGBB645,1,,2,,8.00
BGBB8082,2,,2,,4.00
BGBB8086,1,,2,,6.00
BGBB8137,1,,2,,7.00
BGBB8138,1,,2,,7.00
BGBB881,1,,2,,5.50
BGBB887,2,,2,,5.50
BGBB889,1,,2,,9.00
BGBB983,3,,2,,6.50
BGBBBP003,2,,2,,10.50
BGBBC2017,1,,2,,7.00
BGBBC6029,3,,2,,8.00
BGBBE3572,1,,2,,8.50
BGBBF613,1,,2,,4.50
BGBP001,1,,2,,9.50
BGBP002,2,,2,,8.00
BGBP004,4,,2,,10.00
BGBP005,3,,2,,10.00
BGBR0079,1,,2,,16.50
BGBR2037,2,,2,,6.50
BGBR237,1,,2,,6.50
BGDB156,1,,2,,5.00
BGDB719,1,,2,,6.50
BGDBB59,2,,2,,4.00
BGDG2006,2,,2,,7.50
BGGG1703,1,,2,,7.00
BGGG2037,2,,2,,6.50
BGGG2602,1,,2,,8.50
BGGG2879,2,,2,,7.50
BGGG5182,2,,2,,10.00
BGGG6028,1,,2,,9.50
BGGGA513,1,,2,,4.00
BGGGAF613,2,,2,,4.50
BGGO887,3,,2,,5.50
BGPP4106,2,,2,,8.50
BGPP511,1,,2,,3.50
BGPP613,1,,2,,4.50
BGPPXM05,2,,2,,4.00
BRBP006,1,,2,,7.00
