Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
CD0CPD85,PD85 CREAM DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0PPD85,PD85 PINK DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0CPD87,PD87 CREAM DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0PPD87,PD87 PINK DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0SPD87,PD87 SILVER DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0BPD81,PD81 BLUE DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0CPD81,PD 81 CREAM DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0SPD81,PD 81 SILVER DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0CPD84,PD84 CREAM DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0PPD84,PD84 PINK DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0SPD84,PD84 SILVER DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
CD0BPD84,PD84 BLUE DRESS,CD,UNIT,,48.99,1,,,,,,,,,,,,,,,,
