Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
CD0CPD85,14.3,4,WH1,6,,,,received,,PAID,,,
CD0PPD85,14.3,4,WH1,6,,,,received,,PAID,,,
CD0CPD87,14.3,2,WH1,6,,,,received,,PAID,,,
CD0PPD87,14.3,4,WH1,6,,,,received,,PAID,,,
CD0SPD87,14.3,4,WH1,6,,,,received,,PAID,,,
CD0BPD81,14.3,4,WH1,6,,,,received,,PAID,,,
CD0CPD81,14.3,4,WH1,6,,,,received,,PAID,,,
CD0SPD81,14.3,2,WH1,6,,,,received,,PAID,,,
CD0CPD84,14.3,2,WH1,6,,,,received,,PAID,,,
CD0PPD84,14.3,2,WH1,6,,,,received,,PAID,,,
CD0SPD84,14.3,2,WH1,6,,,,received,,PAID,,,
CD0BPD84,14.3,4,WH1,6,,,,received,,PAID,,,
