Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
CD007349,7.4,10,1,2,,,,received,,PAID,,,
SK000003,5.5,10,1,2,,,,received,,PAID,,,
SJ004421,5.9,10,1,2,,,,received,,PAID,,,
CD009146,8,10,1,2,,,,received,,PAID,,,
SY003088,4.5,10,1,2,,,,received,,PAID,,,
SY001993,5.2,7,1,2,,,,received,,PAID,,,
SY009235,6.6,10,1,2,,,,received,,PAID,,,
SY003102,5.2,10,1,2,,,,received,,PAID,,,
CD009219,8,10,1,2,,,,received,,PAID,,,
SKBB9447,9.5,6,1,2,,,,received,,PAID,,,
SK0R9447,9.5,4,1,2,,,,received,,PAID,,,
SK009412,6.6,10,1,2,,,,received,,PAID,,,
