Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
BG00174,174 BAG,BG,UNIT,0,20.99,1,,,,,,,,,,,,,,,,
BGBR175,175 BROWN BAG,BG,UNIT,,17.99,1,,,,,,,,,,,,,,,,
BG0R175,175 RED BAG,BG,UNIT,,17.99,1,,,,,,,,,,,,,,,,
BGDB175,175 DARK BROWN BAG,BG,UNIT,,17.99,1,,,,,,,,,,,,,,,,
BGBB175,175 BLACK BAG,BG,UNIT,,17.99,1,,,,,,,,,,,,,,,,
BG0R502,502 RED BAG,BG,UNIT,,18.99,1,,,,,,,,,,,,,,,,
BGBR502,502 BROWN BAG,BG,UNIT,,18.99,1,,,,,,,,,,,,,,,,
BGBB502,502 BLACK BAG,BG,UNIT,,18.99,1,,,,,,,,,,,,,,,,
BG0G176,176 GRAY BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BGBB176,176 BLACK BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BGGG176,176 GREEN BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BG0R990,990 RED BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BGBB990,990 BLACK BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BG0R8833,8833 RED BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGBB8833,8833 BLACK BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGBR5017,5017 BROWN BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGBB5017,5017 BLACK BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
