Code,Quantity,option_id,warehouse_id,opening_stock,cost
IS0B2232,1,,2,,7.45
IS0B2240,2,,2,,7.7
IS0B2241,1,,2,,7.45
IS0B2246,1,,2,,8.25
IS0B3816,1,,2,,6.9
IS0B3816B,1,,2,,6.9
IS0B3939,1,,2,,10.2
IS0B3961,1,,2,,9.2
IS0B3968,1,,2,,14.2
IS0B6809,1,,2,,11.6
IS0G220,2,,2,,8.8
IS0G3806,1,,2,,7.8
IS0G3821,1,,2,,6.9
IS0G3848,1,,2,,8.4
IS0G3961,1,,2,,9.2
IS0G6801,1,,2,,10.1
IS0G6802,1,,2,,12.4
IS0G8109,1,,2,,15.3
IS0O3821,1,,2,,6.9
IS0O8138,1,,2,,9.5
IS0P220,2,,2,,8.8
IS0P3806,1,,2,,7.8
IS0P8116,1,,2,,9
IS0R216,1,,2,,7.5
IS0R3816B,1,,2,,6.9
IS0R3821,1,,2,,6.9
IS0R3866,2,,2,,8.1
IS0R3963,1,,2,,8.4
IS0R6801,1,,2,,10.1
IS0R6819,1,,2,,12.1
IS0R8111,1,,2,,15.5
IS0R8126,1,,2,,8.4
IS0S3843,1,,2,,7.8
IS0S3846,1,,2,,8.1
IS0S3848,1,,2,,8.4
IS0W216,1,,2,,7.5
IS0W3866,1,,2,,8.1
IS0W3939,1,,2,,10.2
IS0W3968,1,,2,,14.2
IS0W8111,1,,2,,15.5
IS103830,1,,2,,6.9
IS103860,1,,2,,8.4
IS1BBG8126,1,,2,,8.4
IS1BG3822,1,,2,,6.3
IS1BG8126,1,,2,,8.4
IS1BS3822,1,,2,,6.3
IS203832,1,,2,,6.9
IS203860,1,,2,,8.4
IS203908,1,,2,,8.1
IS206811,1,,2,,12.4
IS303818,1,,2,,8.1
IS303830,1,,2,,6.9
IS303860,1,,2,,8.4
IS303908,1,,2,,8.1
IS303960,2,,2,,11.8
IS306811,1,,2,,12.4
IS403818,1,,2,,8.1
IS503832,1,,2,,6.9
ISBB216,1,,2,,7.5
ISBB220,2,,2,,8.8
ISBB2232,1,,2,,7.45
ISBB2240,1,,2,,7.7
ISBB3803,1,,2,,7.5
ISBB3938,2,,2,,7.5
ISBB3960,1,,2,,15
ISBB3961,1,,2,,9.2
ISBB6809,1,,2,,11.6
ISBB8138,1,,2,,9.5
ISBBG8126,1,,2,,8.4
ISBBS8126,1,,2,,8.4
ISBE3812,1,,2,,7.2
ISBG3812,1,,2,,7.2
ISBG3820,1,,2,,7
ISBG3822,1,,2,,6.3
ISBG3863,1,,2,,8
ISBG3911,1,,2,,8.1
ISBG3978,2,,2,,8.4
ISBG6806,1,,2,,9.5
ISBG8126,1,,2,,8.4
ISBR3938,1,,2,,7.5
ISBR3978,1,,2,,8.4
ISBR6816,1,,2,,13.3
ISBR8113,2,,2,,10.1
ISBS3803,1,,2,,7.5
ISBS3812,1,,2,,7.2
ISBS3820,1,,2,,7
ISBS3863,1,,2,,8
ISBS3911,1,,2,,8.1
ISBS3961,1,,2,,9.2
ISBW2216,1,,2,,8.7
ISBWG3822,1,,2,,6.3
ISGG6816,1,,2,,13.3
ISPP3963,2,,2,,8.4
ISPP3992,1,,2,,8.65
ISPP8111,1,,2,,15.5
ISRG2216,1,,2,,8.7
ISRR6802,1,,2,,12.4
ISRW6802,1,,2,,12.4
