Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
IS0W8201,8.5,5,1,2,,,,,,,,,
IS0R8201,8.5,5,1,2,,,,,,,,,
ISBB8201,8.5,5,1,2,,,,,,,,,
IS0P8201,8.5,5,1,2,,,,,,,,,
ISBB2202,8,5,1,2,,,,,,,,,
IS0W2202,8,5,1,2,,,,,,,,,
IS0R2202,8,5,1,2,,,,,,,,,
IS0S3873,11.1,5,1,2,,,,,,,,,
IS0G3873,11.1,5,1,2,,,,,,,,,
ISRG3873,11.1,5,1,2,,,,,,,,,
ISBB3802M,7.8,5,1,2,,,,,,,,,
ISBB3802W,7.8,5,1,2,,,,,,,,,
IS0R3802M,7.8,5,1,2,,,,,,,,,
IS0R3802W,7.8,5,1,2,,,,,,,,,
IS0R3919,8.6,5,1,2,,,,,,,,,
ISBB3919,8.6,5,1,2,,,,,,,,,
ISBW2246,8.25,20,1,2,,,,,,,,,
ISBR2246,8.25,20,1,2,,,,,,,,,
ISBB2246,8.25,20,1,2,,,,,,,,,
ISBS2246,8.25,20,1,2,,,,,,,,,
ISBB3923,8.1,5,1,2,,,,,,,,,
ISBW3923,8.1,5,1,2,,,,,,,,,
ISRR3923,8.1,5,1,2,,,,,,,,,
ISRW3923,8.1,5,1,2,,,,,,,,,
IS0P2210,7.8,5,1,2,,,,,,,,,
ISBB2210,7.8,5,1,2,,,,,,,,,
IS0W2210,7.8,5,1,2,,,,,,,,,
ISBR3818M,8.1,10,1,2,,,,,,,,,
ISBR3818W,8.1,10,1,2,,,,,,,,,
ISBB3818M,8.1,10,1,2,,,,,,,,,
ISBB3818W,8.1,10,1,2,,,,,,,,,
IS0S8228M,13.9,5,1,2,,,,,,,,,
IS0S8228W,13.9,5,1,2,,,,,,,,,
IS0G8228M,13.9,5,1,2,,,,,,,,,
IS0G8228W,13.9,5,1,2,,,,,,,,,
IS0S3839,9.2,10,1,2,,,,,,,,,
IS0G3839,9.2,10,1,2,,,,,,,,,
IS203832W,6.9,10,1,2,,,,,,,,,
ISBB8160M,7.8,10,1,2,,,,,,,,,
ISBB8160W,7.8,10,1,2,,,,,,,,,
ISBE8160M,7.8,10,1,2,,,,,,,,,
ISBE8160W,7.8,10,1,2,,,,,,,,,
ISBG8160M,7.8,10,1,2,,,,,,,,,
ISBG8160W,7.8,10,1,2,,,,,,,,,
IS0R8160M,7.8,10,1,2,,,,,,,,,
IS0R8160W,7.8,10,1,2,,,,,,,,,
