Code,Quantity,option_id,warehouse_id,opening_stock,cost
CD005842,8,,WH2,15.99,7.00
CDYD8159,4,,WH2,16.99,7.50
CD005913,7,,WH2,15.99,7.00
CD000571,1,,WH2,15.99,7.00
CD005091,4,,WH2,16.99,7.50
CD00W187,10,,WH2,20.99,9.50
CD008963,7,,WH2,13.99,6.00
CD004330,1,,WH2,11.99,5.00
CD005612,2,,WH2,16.99,7.50
DO004171,3,,WH2,19.99,9.00
CD005198,1,,WH2,16.99,7.50
CD009709,4,,WH2,17.99,8.00
CDXZ0175,4,,WH2,16.99,7.50
CD007994,4,,WH2,19.99,9.00
JK007963,4,,WH2,22.99,10.50
SYBB0111,1,,WH2,8,3.00
CD007686,3,,WH2,14.99,6.50
CD009003,3,,WH2,14.99,6.50
CDBB6032,4,,WH2,13.99,6.00
SS002166,2,,WH2,14.99,6.50
CD008389,1,,WH2,12.99,5.50
CD00B132,1,,WH2,17.99,8.00
SSBB90029,2,,WH2,14.99,6.50
CD00B140,2,,WH2,16.99,7.50
CD0W4304,1,,WH2,10,4.00
CD0W8875,1,,WH2,11.99,5.00
CD005616,1,,WH2,11.99,5.00
CD0W3960,1,,WH2,10.99,4.50
CD0R7319,1,,WH2,10,4.00
SY00386,1,,WH2,12.99,5.50
CDBB8464,2,,WH2,13.99,6.00
CDBB90853,1,,WH2,12.99,5.50
CD003227,1,,WH2,14.99,6.50
CD009758,3,,WH2,14.99,6.50
CD0B7565,3,,WH2,12.99,5.50
CD0A3009,1,,WH2,16.99,7.50
CD009524,3,,WH2,12.99,5.50
CD00906442,2,,WH2,10.99,4.50
CD008423,3,,WH2,17.99,8.00
SY0R90739,3,,WH2,16.99,7.50
CD005878,1,,WH2,17.99,8.00
SY00H144,3,,WH2,19.99,9.00
CD0G6284,1,,WH2,11.99,5.00
CD0P7643,4,,WH2,13.99,6.00
SY009272,1,,WH2,8.99,3.50
DO0BB371,8,,WH2,19.99,9.00
SY0Y201,1,,WH2,12.99,5.50
SY0BV006,1,,WH2,10,4.00
SY0W8648,1,,WH2,15.99,7.00
CD0060051,5,,WH2,17.99,8.00
SY00207,1,,WH2,11.99,5.00
SY0W120,1,,WH2,10,4.00
SY009042,1,,WH2,11.99,5.00
SY0W04012,1,,WH2,11.99,5.00
CD008733,1,,WH2,11.99,5.00
SS009332,2,,WH2,15.99,7.00
SYBB8497,4,,WH2,8.5,3.25
DO009832,6,,WH2,13.99,6.00
SY0G90752,2,,WH2,10,4.00
DO0090592,2,,WH2,13.99,6.00
SYBB90645,1,,WH2,10,4.00
DO0P10295,5,,WH2,12.99,5.50
SS003057,1,,WH2,13.99,6.00
SY0R04010,1,,WH2,14.99,6.50
DO008825,1,,WH2,13.99,6.00
CD0080006,3,,WH2,13.99,6.00
SY0WV006,1,,WH2,10,4.00
SY009588,1,,WH2,11.99,5.00
