Code,Quantity,option_id,warehouse_id,opening_stock,cost
CD00223,2,,1,,14.5
CD0050401,1,,1,,10
CD005842,5,,1,,7
CD0080006,7,,1,,6
CD008049,3,,1,,9
CD008963,4,,1,,6
CD0090021,4,,1,,5.5
CD00AJ012,4,,1,,5
CD00W187,2,,1,,9.5
CD0B10509,2,,1,,9
CD0B135,3,,1,,4
CD0B2005,2,,1,,3
CD0BPD81,1,,1,,23.5
CD0BPD84,3,,1,,23.5
CD0CPD81,2,,1,,23.5
CD0CPD87,2,,1,,23.5
CD0PPD82,1,,1,,18.5
CD0PPD86,1,,1,,23.5
CD0PPD87,5,,1,,23.5
CD0PPD89,1,,1,,23.5
CD0PPD90,1,,1,,23.5
CD0R10509,3,,1,,9
CD0R135,3,,1,,4
CD0SPD81,2,,1,,23.5
CD0SPD87,1,,1,,23.5
CD0W2005,3,,1,,3
CDXZ024,1,,1,,8.5
DO00745,4,,1,,6
DO008825,3,,1,,6
DO009832,3,,1,,6
DO0P10295,3,,1,,5.5
DO0SB370,3,,1,,9.5
JK00390,3,,1,,7
JK00625,8,,1,,7
JK007109,5,,1,,7.5
JK007487,1,,1,,8
JK008527,3,,1,,6.5
JK0B1038,5,,1,,7.5
JK0B3040,2,,1,,8.5
JK0C1038,6,,1,,7.5
JK0G1050,1,,1,,9.5
JK0G366,2,,1,,7.5
JK0P3040,2,,1,,8.5
JKBB3502,4,,1,,5
JKBB366,2,,1,,7.5
JKBB9052,2,,1,,8.5
JKBBA1635,3,,1,,6
JKPP1050,1,,1,,9.5
LJ001018,5,,1,,6.5
LJ002269,2,,1,,6.5
LP00112,2,,1,,5
LP004410,3,,1,,5
SJ001253,5,,1,,5
SK003017,3,,1,,5.5
SK005068,2,,1,,8.5
SK00911,4,,1,,6
SK009330,1,,1,,8.5
SK0B1519,2,,1,,6
SK0B3609,1,,1,,5
SK0C5559,3,,1,,7
SK0G5559,2,,1,,7
SKBB3609,1,,1,,5
SS007179,2,,1,,8
SS0080050,3,,1,,7
SS009332,5,,1,,7
SS0B7828,1,,1,,7
SS0W7828,2,,1,,7
SY000888,3,,1,,7.5
SY0010264,3,,1,,5
SY001814,2,,1,,7.5
SY001846,4,,1,,7.5
SY002242,13,,1,,6.5
SY00265,3,,1,,8.5
SY002660,7,,1,,6.5
SY003010,7,,1,,5
SY00672,7,,1,,6
SY007959,2,,1,,8
SY0080075,5,,1,,6
SY0080910,5,,1,,7
SY008295,6,,1,,6.5
SY008873,5,,1,,6
SY009020,3,,1,,5.5
SY009272,3,,1,,3.5
SY009390,5,,1,,5.5
SY009588,4,,1,,5
SY00A087,4,,1,,7
SY00AJ008,10,,1,,3
SY00JU208,2,,1,,3
SY00W122,2,,1,,6.5
SY0B2095,10,,1,,6.5
SY0B2773,3,,1,,6.5
SY0B5717,5,,1,,4
SY0B6602,8,,1,,6.5
SY0G10847,10,,1,,4
SY0G2773,3,,1,,6.5
SY0G3915,8,,1,,6.5
SY0P10847,11,,1,,4
SY0P3915,5,,1,,6.5
SY0R80098,3,,1,,4
SY0R8991,4,,1,,5.5
SY0R90117,2,,1,,4.5
SY0W168,4,,1,,4
SY0W385,3,,1,,5.5
SY0W80098,3,,1,,4
SY0W8916,3,,1,,3.25
SY0W91061,4,,1,,4
SY0WJU202,1,,1,,2.5
SYBB10847,11,,1,,4
SYBB168,4,,1,,4
SYBB3062,7,,1,,6.5
SYBB5717,3,,1,,4
SYBB6002,5,,1,,4
SYDB6602,3,,1,,6.5
SYDMW005,7,,1,,7.5
SYGG3915,2,,1,,6.5
SYGG6852,2,,1,,7
SYPP2095,3,,1,,6.5
SYVBX026,2,,1,,2.5
SYVX008,7,,1,,2.5
