Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SYPP2095,2095 PURPLE SHIRT,SY,UNIT,6.5,14.99,1,,,,,,,,,,,,,,,,
SY0B2095,2095 BLUE SHIRT,SY,UNIT,6.5,14.99,1,,,,,,,,,,,,,,,,
SY0P2095,2095 PINK SHIRT,SY,UNIT,6.5,14.99,1,,,,,,,,,,,,,,,,
SY002242,2242 SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SY002660,2660 SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SY0G2773,2773 GRAY SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SY0B2773,2773 BLUE SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SYBB3062,3062 BLACK SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SY0P3062,3062 PINK SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SY0B3062,3062 BLUE SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SY003265,3265 SHIRT,SY,UNIT,4.7,12.99,1,,,,,,,,,,,,,,,,
SY0G3915,3915 GRYA SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SYGG3915,3915 GREEN SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
SY0P3915,3915 PINK SHIRT,SY,UNIT,6,14.99,1,,,,,,,,,,,,,,,,
