Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
JK0G366,6.6,5,WH1,6,,,,received,,,,,
JKBB366,6.6,5,WH1,6,,,,received,,,,,
SY0G348,6.3,5,WH1,6,,,,received,,,,,
SYBB348,6.3,5,WH1,6,,,,received,,,,,
SY0R348,6.3,5,WH1,6,,,,received,,,,,
JK0P3040,7.3,3,WH1,6,,,,received,,,,,
JK0B3040,7.3,3,WH1,6,,,,received,,,,,
JK0G1038,7.2,5,WH1,6,,,,received,,,,,
JK0B1038,7.2,7,WH1,6,,,,received,,,,,
JK0C1038,7.2,8,WH1,6,,,,received,,,,,
JKPP1050,9.3,2,WH1,6,,,,received,,,,,
JK0G1050,9.3,2,WH1,6,,,,received,,,,,
SY0W1825,4.9,5,WH1,6,,,,received,,,,,
SY0C1825,4.9,5,WH1,6,,,,received,,,,,
SY0G8138,6.3,5,WH1,6,,,,received,,,,,
SY0W8138,6.3,5,WH1,6,,,,received,,,,,
SY0R8138,6.3,5,WH1,6,,,,received,,,,,
