Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SYGGL78,4,10,WH1,2,,,,,,,,,
SYBRL78,4,5,WH1,2,,,,,,,,,
SY0GL78,4,10,WH1,2,,,,,,,,,
SY0RL78,4,10,WH1,2,,,,,,,,,
SYDGL78,4,10,WH1,2,,,,,,,,,
SY0GA17,3.2,10,WH1,2,,,,,,,,,
SYBBA17,3.2,10,WH1,2,,,,,,,,,
SY0WA17,3.2,10,WH1,2,,,,,,,,,
LPBBA111,4.2,5,WH1,2,,,,,,,,,
LP0PA111,4.2,5,WH1,2,,,,,,,,,
DO00L136,3.7,10,WH1,2,,,,,,,,,
SYGGA63,4.5,10,WH1,2,,,,,,,,,
SY0YA63,4.5,10,WH1,2,,,,,,,,,
SY0GA63,4.5,15,WH1,2,,,,,,,,,
SYPPA63,4.5,10,WH1,2,,,,,,,,,
SY00A69,5.8,20,WH1,2,,,,,,,,,
LP00A279,6.4,10,WH1,2,,,,,,,,,
LP0PA395,5,4,WH1,2,,,,,,,,,
LP0BA395,5,5,WH1,2,,,,,,,,,
LPBBA395,5,11,WH1,2,,,,,,,,,
LP00A392,5,5,WH1,2,,,,,,,,,
SY0BA190,5.5,5,WH1,2,,,,,,,,,
SYBRA190,5.5,5,WH1,2,,,,,,,,,
SY0WA190,5.5,5,WH1,2,,,,,,,,,
SY00A511,5.3,10,WH1,2,,,,,,,,,
