Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
JL0S950,26.6,5,WH1,2,,,,received,,pending,,,
JLSB950,26.6,5,WH1,2,,,,received,,pending,,,
JL0G950,26.6,5,WH1,2,,,,received,,pending,,,
JL0S946,24.7,5,WH1,2,,,,received,,pending,,,
JL0G946,24.7,5,WH1,2,,,,received,,pending,,,
JLDG960,11.7,5,WH1,2,,,,received,,pending,,,
JLRG960,11.7,5,WH1,2,,,,received,,pending,,,
JL0S960,11.7,5,WH1,2,,,,received,,pending,,,
JLBE935,8.1,5,WH1,2,,,,received,,pending,,,
JL0W935,8.1,5,WH1,2,,,,received,,pending,,,
JL0G935,8.1,5,WH1,2,,,,received,,pending,,,
JLBB932,9,5,WH1,2,,,,received,,pending,,,
JL0C932,9,5,WH1,2,,,,received,,pending,,,
JL0W932,9,5,WH1,2,,,,received,,pending,,,
JLBE932,9,5,WH1,2,,,,received,,pending,,,
JLBE929,9,5,WH1,2,,,,received,,pending,,,
JL0P929,9,5,WH1,2,,,,received,,pending,,,
JLBB929,9,5,WH1,2,,,,received,,pending,,,
JL0P864,9.3,5,WH1,2,,,,received,,pending,,,
JLBB864,9.3,5,WH1,2,,,,received,,pending,,,
