Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
JL0W928,928 WHITE JULIUS,JL,UNIT,,32,1,,,,,,,,,,,,,,,,
JLBR928,928 BROWN JULIUS,JL,UNIT,,32,1,,,,,,,,,,,,,,,,
JLBE928,928 BLUE JULIUS,JL,UNIT,,32,1,,,,,,,,,,,,,,,,
JL0Y958,958 YELLOW JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JLBR958,958 BROWN JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JL0W958,958 WHITE JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JLBB958,958 BLACK JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JL0W955,955 WHITE JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
JLBB955,955 BLACK JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
JL0G921,921 GRAY JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JL0Y921,921 YELLOW JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JL0P921,921 PINK JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JLBE945,945 BLUE JULIUS,JL,UNIT,,34,1,,,,,,,,,,,,,,,,
JL0G945,945 GRAY JULIUS,JL,UNIT,,34,1,,,,,,,,,,,,,,,,
JL0P945,945 PINK JULIUS,JL,UNIT,,34,1,,,,,,,,,,,,,,,,
JLBB920,920 BLACK JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JL0W920,920 WHITE JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JLBE925,925 BLUE JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
JLBB925,925 BLACK JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
JLBB951,951 BLACK JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JL0P951,951 PINK JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JL0W951,951 WHITE JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JL0G809,809 GOLD JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JLRG809,809 ROSE GOLD JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JL0S809,809 SILVER JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JL0W954,954 WHITE JULIUS,JL,UNIT,,32,1,,,,,,,,,,,,,,,,
JLBE862,862 BLUE JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
