Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
JL0P863,863 PINK JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
JLBE863,863 BLUE JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
JLBB863,863 BLACK JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
 JL0P941,941 PINK JULIUS,JL,UNIT,,34,1,,,,,,,,,,,,,,,,
JL0W941,941 WHITE JULIUS,JL,UNIT,,34,1,,,,,,,,,,,,,,,,
JL0G941,941 GOLD JULIUS,JL,UNIT,,34,1,,,,,,,,,,,,,,,,
JLBB941,941 BLACK JULIUS,JL,UNIT,,34,1,,,,,,,,,,,,,,,,
JL0W870,870 WHITE JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JL0P870,870 PINK JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JLBE870,870 BLUE JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JL0S959,959 SILVER JULIUS,JL,UNIT,,48,1,,,,,,,,,,,,,,,,
JL0G959,959 GOLD JULIUS,JL,UNIT,,48,1,,,,,,,,,,,,,,,,
JLRG959,959 ROSE GOLD JULIUS,JL,UNIT,,48,1,,,,,,,,,,,,,,,,
JLBB884,884 BLACK JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
JLBE884,884 BLUE JULIUS,JL,UNIT,,36,1,,,,,,,,,,,,,,,,
ISBE216,216 BLUE IBSO,IS,UNIT,,28,1,,,,,,,,,,,,,,,,
