Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
JL0P863,9,5,WH1,2,,,,received,,pending,,,
JLBE863,9,5,WH1,2,,,,received,,pending,,,
JLBB863,9,5,WH1,2,,,,received,,pending,,,
 JL0P941,8.4,5,WH1,2,,,,received,,pending,,,
JL0W941,8.4,5,WH1,2,,,,received,,pending,,,
JL0G941,8.4,5,WH1,2,,,,received,,pending,,,
JLBB941,8.4,5,WH1,2,,,,received,,pending,,,
JL0W870,16.4,5,WH1,2,,,,received,,pending,,,
JL0P870,16.4,5,WH1,2,,,,received,,pending,,,
JLBE870,16.4,5,WH1,2,,,,received,,pending,,,
JL0S959,12.8,5,WH1,2,,,,received,,pending,,,
JL0G959,12.8,5,WH1,2,,,,received,,pending,,,
JLRG959,12.8,5,WH1,2,,,,received,,pending,,,
JLBB884,9.3,5,WH1,2,,,,received,,pending,,,
JLBE884,9.3,5,WH1,2,,,,received,,pending,,,
JL0W884,9.3,5,WH1,2,,,,received,,pending,,,
ISBE216,7.5,15,WH1,2,,,,received,,pending,,,
IS0W216,7.5,15,WH1,2,,,,received,,pending,,,
