Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0B3001,4.5,10,WH1,7,,,,received,,PAID,,,
SYDB3001,4.5,10,WH1,7,,,,received,,PAID,,,
SY003002,5.9,15,WH1,7,,,,received,,PAID,,,
SY003003,4.9,15,WH1,7,,,,received,,PAID,,,
SY0B3004,5,10,WH1,7,,,,received,,PAID,,,
SY0W3004,5,10,WH1,7,,,,received,,PAID,,,
SYBB3005,5.9,15,WH1,7,,,,received,,PAID,,,
SY0B3005,5.9,15,WH1,7,,,,received,,PAID,,,
SY0G3006,4.9,10,WH1,7,,,,received,,PAID,,,
SY0B3006,4.9,10,WH1,7,,,,received,,PAID,,,
CD003007,7.5,15,WH1,7,,,,received,,PAID,,,
SY004110,5.9,20,WH1,7,,,,received,,PAID,,,
