Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
JK004241,4241 JACKET,JK,UNIT,,15.99,1,,,,,,,,,,,,,,,,
JK005071,5071 JACKET,JK,UNIT,,15.99,1,,,,,,,,,,,,,,,,
LJ003863,3863 LONG JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY001108,1108 SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0P3828,3828 PINK SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SY0W3828,3828 WHITE SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
CD008025,8025 DRESS,CD,UNIT,,12.99,1,,,,,,,,,,,,,,,,
CD0B9307,9307 BLUE DRESS,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD0P9307,9307 PINK DRESS,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD006275,6275 DRESS,CD,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SYGG9968,9968 GREEN SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0P9968,9968 PINK SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
DO001248,1248 DENIM,DO,UNIT,,14.99,1,,,,,,,,,,,,,,,,
