Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0W3932,5.2,5,WH1,2,,,,received,,pending,,,
SYBB3932,5.2,5,WH1,2,,,,received,,pending,,,
SY001138,66,15,WH1,2,,,,received,,pending,,,
SY001156,6.3,10,WH1,2,,,,received,,pending,,,
SY001154,6.3,10,WH1,2,,,,received,,pending,,,
SY001188,6.3,10,WH1,2,,,,received,,pending,,,
JK000094,4.7,15,WH1,2,,,,received,,pending,,,
LP004627,8,15,WH1,2,,,,received,,pending,,,
SS000088,5.5,5,WH1,2,,,,received,,pending,,,
SY001228,7.3,10,WH1,2,,,,received,,pending,,,
SY001286,5.9,10,WH1,2,,,,received,,pending,,,
SY001285,7.3,10,WH1,2,,,,received,,pending,,,
SY001993,5.2,15,WH1,2,,,,received,,pending,,,
