Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY0B3119,3119 BLUE SHIRT,SY,UNIT,,8.5,1,,,,,,,,,,,,,,,,
SY0W3119,3119 WHITE SHIRT,SY,UNIT,,8.5,1,,,,,,,,,,,,,,,,
SS006603,6603 SET,SS,UNIT,,12.99,1,,,,,,,,,,,,,,,,
LJ002267,2267 LONG JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJ0B2278,2278 BLUE LONG JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJBB2278,2278 BLACK LONG JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0Y3521,3521 YELLOW SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0B3521,3521 BLUE SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0W3521,3521 WHITE SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD009321,9321 DRESS,CD,UNIT,,11.99,1,,,,,,,,,,,,,,,,
LJ005009,5009 LONG JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SJ004895,4895 SHORT JEAN,SJ,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SYBB8472,8472 BLACK SHIRT,SY,UNIT,,10.99,1,,,,,,,,,,,,,,,,
SY0W8472,8472 WHITE SHIRT,SY,UNIT,,10.99,1,,,,,,,,,,,,,,,,
LJ001023,1023 LONG JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
