Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0B110,3.3,10,WH1,2,,,,received,,,,,
SY0C110,3.3,10,WH1,2,,,,received,,,,,
SY0G110,3.3,10,WH1,2,,,,received,,,,,
SYPP110,3.3,10,WH1,2,,,,received,,,,,
SY0B3009,4.2,10,WH1,2,,,,received,,,,,
SYBB3009,4.2,20,WH1,2,,,,received,,,,,
SY0P3009,4.2,10,WH1,2,,,,received,,,,,
SYDB3009,4.2,10,WH1,2,,,,received,,,,,
SY0G1701,3,10,WH1,2,,,,received,,,,,
SYGG3008,4.2,20,WH2,2,,,,received,,,,,
SY0G3008,4.2,10,WH3,2,,,,received,,,,,
SY0W3008,4.2,10,WH4,2,,,,received,,,,,
SY0P3008,4.2,20,WH5,2,,,,received,,,,,
