Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
PL21103BB,PL21103BB,PL,Unit,,204,1,,,,,,,,,,,,,,,,
PL21103BE,PL21103BE,PL,Unit,,204,1,,,,,,,,,,,,,,,,
PL21110BE,PL21110BE,PL,Unit,,201,1,,,,,,,,,,,,,,,,
PL21110BR,PL21110BR,PL,Unit,,201,1,,,,,,,,,,,,,,,,
PL21110GG,PL21110GG,PL,Unit,,201,1,,,,,,,,,,,,,,,,
PL21117BE,PL21117BE,PL,Unit,,188,1,,,,,,,,,,,,,,,,
PL21117BR,PL21117BR,PL,Unit,,188,1,,,,,,,,,,,,,,,,
PL21119BB,PL21119BB,PL,Unit,,214,1,,,,,,,,,,,,,,,,
PL21119BE,PL21119BE,PL,Unit,,214,1,,,,,,,,,,,,,,,,
PL21124BB,PL21124BB,PL,Unit,,280,1,,,,,,,,,,,,,,,,
PL21124BR,PL21124BR,PL,Unit,,280,1,,,,,,,,,,,,,,,,
PL21125BB,PL21125BB,PL,Unit,,188,1,,,,,,,,,,,,,,,,
PL21125BR,PL21125BR,PL,Unit,,188,1,,,,,,,,,,,,,,,,
PL21126BB,PL21126BB,PL,Unit,,224,1,,,,,,,,,,,,,,,,
PL21126BE,PL21126BE,PL,Unit,,224,1,,,,,,,,,,,,,,,,
PL21127BB,PL21127BB,PL,Unit,,181,1,,,,,,,,,,,,,,,,
PL21127BRB,PL21127BRB,PL,Unit,,181,1,,,,,,,,,,,,,,,,
PL21127BRW,PL21127BRW,PL,Unit,,181,1,,,,,,,,,,,,,,,,
PL51109BE,PL51109BE,PL,Unit,,200,1,,,,,,,,,,,,,,,,
PL51109BR,PL51109BR,PL,Unit,,200,1,,,,,,,,,,,,,,,,
PL51111BB,PL51111BB,PL,Unit,,224,1,,,,,,,,,,,,,,,,
PL51111G,PL51111G,PL,Unit,,224,1,,,,,,,,,,,,,,,,
PL71102BB,PL71102BB,PL,Unit,,155,1,,,,,,,,,,,,,,,,
PL71102BE,PL71102BE,PL,Unit,,155,1,,,,,,,,,,,,,,,,
PL71108BB,PL71108BB,PL,Unit,,218,1,,,,,,,,,,,,,,,,
PL71108BG,PL71108BG,PL,Unit,,218,1,,,,,,,,,,,,,,,,
PL81103BB,PL81103BB,PL,Unit,,158,1,,,,,,,,,,,,,,,,
PL91101BB,PL91101BB,PL,Unit,,228,1,,,,,,,,,,,,,,,,
PL91101BR,PL91101BR,PL,Unit,,228,1,,,,,,,,,,,,,,,,
PL91103BG,PL91103BG,PL,Unit,,235,1,,,,,,,,,,,,,,,,
PL91103BW,PL91103BW,PL,Unit,,235,1,,,,,,,,,,,,,,,,
PL91120BB,PL91120BB,PL,Unit,,231,1,,,,,,,,,,,,,,,,
PL91120BR,PL91120BR,PL,Unit,,231,1,,,,,,,,,,,,,,,,
PL91131BB,PL91131BB,PL,Unit,,175,1,,,,,,,,,,,,,,,,
PL91131BR,PL91131BR,PL,Unit,,175,1,,,,,,,,,,,,,,,,
