Product Code,Product Name,Variant,Expected,Counted
"1329G80","1329G80","","0.0000","0"
"1345B70","1345B70","","0.0000","0"
"B140007","B140007","","0.0000","0"
"BG0002702","BG0002702","","0.0000","0"
"BG001031","BG001031","","0.0000","0"
"BG001267","BG001267","","0.0000","0"
"BG00144","BG00144","","0.0000","0"
"BG001702","BG001702","","0.0000","0"
"BG001705","BG001705","","1.0000","0"
"BG001706","BG001706","","2.0000","0"
"BG003095","BG003095","","0.0000","0"
"BG006018","BG006018","","0.0000","0"
"BG006021","BG006021","","0.0000","0"
"BG006118","BG006118","","0.0000","0"
"BG008038","BG008038","","6.0000","0"
"BG008039","BG008039","","0.0000","0"
"BG008138","BG008138","","0.0000","0"
"BG008144","BG008144","","0.0000","0"
"BG00880","BG00880","","0.0000","0"
"BG009035","BG009035","","1.0000","0"
"BG009982","BG009982","","6.0000","0"
"BG00BP010","BG00BP010","","0.0000","0"
"BG00C2702","BG00C2702","","0.0000","0"
"BG0B0079","BG0B0079","","0.0000","0"
"BG0B1701","BG0B1701","","0.0000","0"
"BG0B3024","BG0B3024","","0.0000","0"
"BG0B4105","BG0B4105","","0.0000","0"
"BG0B511","BG0B511","","45.0000","0"
"BG0B6041","BG0B6041","","8.0000","0"
"BG0B636","BG0B636","","0.0000","0"
"BG0B645","BG0B645","","0.0000","0"
"BG0B719","BG0B719","","0.0000","0"
"BG0B720","BG0B720","","0.0000","0"
"BG0B8038","BG0B8038","","0.0000","0"
"BG0B8039","BG0B8039","","1.0000","0"
"BG0B8086","BG0B8086","","2.0000","0"
"BG0B8088","BG0B8088","","0.0000","0"
"BG0B8123","BG0B8123","","0.0000","0"
"BG0B8137","BG0B8137","","0.0000","0"
"BG0B8138","BG0B8138","","2.0000","0"
"BG0B881","BG0B881","","0.0000","0"
"BG0B882","BG0B882","","0.0000","0"
"BG0B983","BG0B983","","0.0000","0"
"BG0BB59","BG0BB59","","0.0000","0"
"BG0BBP003","BG0BBP003","","0.0000","0"
"BG0BE3572","BG0BE3572","","0.0000","0"
"BG0BT619","BG0BT619","","8.0000","0"
"BG0F525","BG0F525","","0.0000","0"
"BG0F887","BG0F887","","0.0000","0"
"BG0G1069","BG0G1069","","1.0000","0"
"BG0G1707","BG0G1707","","0.0000","0"
"BG0G2879","BG0G2879","","1.0000","0"
"BG0G5088","BG0G5088","","6.0000","0"
"BG0G5182","BG0G5182","","0.0000","0"
"BG0G6028","BG0G6028","","1.0000","0"
