Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
BGBB5088,BGBB5088,BG,UNIT,,17.99,1,,,,,,,,,,,,,,,,
BGBB5182,BGBB5182,BG,UNIT,,21.99,1,,,,,,,,,,,,,,,,
BGBB6028,BGBB6028,BG,UNIT,,20.99,1,,,,,,,,,,,,,,,,
BGBB6041,BGBB6041,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBB6046,BGBB6046,BG,UNIT,,14.99,1,,,,,,,,,,,,,,,,
BGBB6050,BGBB6050,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBB636,BGBB636,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBB645,BGBB645,BG,UNIT,,17.99,1,,,,,,,,,,,,,,,,
BGBB8082,BGBB8082,BG,UNIT,,10,1,,,,,,,,,,,,,,,,
BGBB8086,BGBB8086,BG,UNIT,,13.99,1,,,,,,,,,,,,,,,,
BGBB8137,BGBB8137,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGBB8138,BGBB8138,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGBB881,BGBB881,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBB887,BGBB887,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBB889,BGBB889,BG,UNIT,,20,1,,,,,,,,,,,,,,,,
BGBB983,BGBB983,BG,UNIT,,14.99,1,,,,,,,,,,,,,,,,
BGBBBP003,BGBBBP003,BG,UNIT,,22.99,1,,,,,,,,,,,,,,,,
BGBBC2017,BGBBC2017,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGBBC6029,BGBBC6029,BG,UNIT,,17.99,1,,,,,,,,,,,,,,,,
BGBBE3572,BGBBE3572,BG,UNIT,,18.99,1,,,,,,,,,,,,,,,,
BGBBF613,BGBBF613,BG,UNIT,,10.99,1,,,,,,,,,,,,,,,,
BGBP001,BGBP001,BG,UNIT,,20.99,1,,,,,,,,,,,,,,,,
BGBP002,BGBP002,BG,UNIT,,17.99,1,,,,,,,,,,,,,,,,
BGBP004,BGBP004,BG,UNIT,,21.99,1,,,,,,,,,,,,,,,,
BGBP005,BGBP005,BG,UNIT,,21.99,1,,,,,,,,,,,,,,,,
BGBR0079,BGBR0079,BG,UNIT,,35,1,,,,,,,,,,,,,,,,
BGBR2037,BGBR2037,BG,UNIT,,14.99,1,,,,,,,,,,,,,,,,
BGBR237,BGBR237,BG,UNIT,,14.99,1,,,,,,,,,,,,,,,,
BGDB156,BGDB156,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BGDB719,BGDB719,BG,UNIT,,14.99,1,,,,,,,,,,,,,,,,
BGDBB59,BGDBB59,BG,UNIT,,9.99,1,,,,,,,,,,,,,,,,
BGDG2006,BGDG2006,BG,UNIT,,16.99,1,,,,,,,,,,,,,,,,
BGGG1703,BGGG1703,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGGG2037,BGGG2037,BG,UNIT,,14.99,1,,,,,,,,,,,,,,,,
BGGG2602,BGGG2602,BG,UNIT,,18.99,1,,,,,,,,,,,,,,,,
BGGG2879,BGGG2879,BG,UNIT,,16.99,1,,,,,,,,,,,,,,,,
BGGG5182,BGGG5182,BG,UNIT,,21.99,1,,,,,,,,,,,,,,,,
BGGG6028,BGGG6028,BG,UNIT,,20.99,1,,,,,,,,,,,,,,,,
BGGGA513,BGGGA513,BG,UNIT,,10,1,,,,,,,,,,,,,,,,
BGGGAF613,BGGGAF613,BG,UNIT,,10.99,1,,,,,,,,,,,,,,,,
BGGO887,BGGO887,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGPP4106,BGPP4106,BG,UNIT,,18.99,1,,,,,,,,,,,,,,,,
BGPP511,BGPP511,BG,UNIT,,8.99,1,,,,,,,,,,,,,,,,
BGPP613,BGPP613,BG,UNIT,,10.99,1,,,,,,,,,,,,,,,,
BGPPXM05,BGPPXM05,BG,UNIT,,10,1,,,,,,,,,,,,,,,,
BRBP006,BRBP006,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
